target word,Sentence,acc_subs,unacc_subs,prof_acc_subs,prof_unacc_subs,t_words_cefr,prof_acc_cefr,prof_unacc_cefr,clean_sentence,target_clean,substitute,source_row_idx,dataset,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2,target2,substitute2,target2_offset,target2_end,target2_pos,target2_selection_status,target2_selection_reason,sentence_with_substitute1,sentence_with_both_substitutions,reject_reason
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,appealing,0,prolex,charming,appealing,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28,Usually,Normally,0,7,RB,selected_conservative,Selected 'Normally' for 'Usually' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Usually, the best advertisements have the capacity to evoke a appealing atmosphere, a pleasant concept, or a familiar situation.","Normally, the best advertisements have the capacity to evoke a appealing atmosphere, a pleasant concept, or a familiar situation.",target2_starts_at_offset_0;obvious_article_error
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,delightful,1,prolex,charming,delightful,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28,Usually,Normally,0,7,RB,selected_conservative,Selected 'Normally' for 'Usually' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Usually, the best advertisements have the capacity to evoke a delightful atmosphere, a pleasant concept, or a familiar situation.","Normally, the best advertisements have the capacity to evoke a delightful atmosphere, a pleasant concept, or a familiar situation.",target2_starts_at_offset_0
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,enchanting,2,prolex,charming,enchanting,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28,Usually,Normally,0,7,RB,selected_conservative,Selected 'Normally' for 'Usually' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Usually, the best advertisements have the capacity to evoke a enchanting atmosphere, a pleasant concept, or a familiar situation.","Normally, the best advertisements have the capacity to evoke a enchanting atmosphere, a pleasant concept, or a familiar situation.",target2_starts_at_offset_0;obvious_article_error
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,captivating,3,prolex,charming,captivating,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28,Usually,Normally,0,7,RB,selected_conservative,Selected 'Normally' for 'Usually' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Usually, the best advertisements have the capacity to evoke a captivating atmosphere, a pleasant concept, or a familiar situation.","Normally, the best advertisements have the capacity to evoke a captivating atmosphere, a pleasant concept, or a familiar situation.",target2_starts_at_offset_0
number,"Moreover, I think we may try to reduce the **number** of cars","['quantity', 'amount', 'total']","['count', 'volume']","['quantity', 'amount', 'total']",[],0,"[1, 1, 2]",[],"Moreover, I think we may try to reduce the number of cars",number,quantity,7,prolex,number,quantity,43,49,"[{""target2"": ""Moreover"", ""target2_offset"": 0, ""target2_end"": 8, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Furthermore""]}, {""target2"": ""think"", ""target2_offset"": 12, ""target2_end"": 17, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""remember"", ""believe"", ""recall"", ""guess"", ""intend"", ""suppose"", ""mean"", ""imagine"", ""conceive"", ""reckon"", ""consider"", ""retrieve""]}, {""target2"": ""reduce"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VB"", ""target2_rank"": 8, ""candidates"": [""cut"", ""dilute"", ""shorten"", ""shrink"", ""trim"", ""slim"", ""thin"", ""contract"", ""concentrate""]}, {""target2"": ""cars"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""automobiles"", ""machines""]}]",4,24,Moreover,Furthermore,0,8,RB,selected_conservative,Selected 'Furthermore' for 'Moreover' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Moreover, I think we may try to reduce the quantity of cars","Furthermore, I think we may try to reduce the quantity of cars",target2_starts_at_offset_0
number,"Moreover, I think we may try to reduce the **number** of cars","['quantity', 'amount', 'total']","['count', 'volume']","['quantity', 'amount', 'total']",[],0,"[1, 1, 2]",[],"Moreover, I think we may try to reduce the number of cars",number,amount,8,prolex,number,amount,43,49,"[{""target2"": ""Moreover"", ""target2_offset"": 0, ""target2_end"": 8, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Furthermore""]}, {""target2"": ""think"", ""target2_offset"": 12, ""target2_end"": 17, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""remember"", ""believe"", ""recall"", ""guess"", ""intend"", ""suppose"", ""mean"", ""imagine"", ""conceive"", ""reckon"", ""consider"", ""retrieve""]}, {""target2"": ""reduce"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VB"", ""target2_rank"": 8, ""candidates"": [""cut"", ""dilute"", ""shorten"", ""shrink"", ""trim"", ""slim"", ""thin"", ""contract"", ""concentrate""]}, {""target2"": ""cars"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""automobiles"", ""machines""]}]",4,24,Moreover,Furthermore,0,8,RB,selected_conservative,Selected 'Furthermore' for 'Moreover' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Moreover, I think we may try to reduce the amount of cars","Furthermore, I think we may try to reduce the amount of cars",target2_starts_at_offset_0
number,"Moreover, I think we may try to reduce the **number** of cars","['quantity', 'amount', 'total']","['count', 'volume']","['quantity', 'amount', 'total']",[],0,"[1, 1, 2]",[],"Moreover, I think we may try to reduce the number of cars",number,total,9,prolex,number,total,43,49,"[{""target2"": ""Moreover"", ""target2_offset"": 0, ""target2_end"": 8, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Furthermore""]}, {""target2"": ""think"", ""target2_offset"": 12, ""target2_end"": 17, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""remember"", ""believe"", ""recall"", ""guess"", ""intend"", ""suppose"", ""mean"", ""imagine"", ""conceive"", ""reckon"", ""consider"", ""retrieve""]}, {""target2"": ""reduce"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VB"", ""target2_rank"": 8, ""candidates"": [""cut"", ""dilute"", ""shorten"", ""shrink"", ""trim"", ""slim"", ""thin"", ""contract"", ""concentrate""]}, {""target2"": ""cars"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""automobiles"", ""machines""]}]",4,24,Moreover,Furthermore,0,8,RB,selected_conservative,Selected 'Furthermore' for 'Moreover' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"Moreover, I think we may try to reduce the total of cars","Furthermore, I think we may try to reduce the total of cars",target2_starts_at_offset_0
road,Many people nowadays are already complaining about how frustrated they are when they are outside on the **road**.,['street'],"['highway', 'pathway', 'route', 'avenue']",['street'],[],0,[0],[],Many people nowadays are already complaining about how frustrated they are when they are outside on the road.,road,street,10,prolex,road,street,104,108,"[{""target2"": ""people"", ""target2_offset"": 5, ""target2_end"": 11, ""target2_pos"": ""NNS"", ""target2_rank"": 1, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""nowadays"", ""target2_offset"": 12, ""target2_end"": 20, ""target2_pos"": ""NNS"", ""target2_rank"": 2, ""candidates"": [""presents""]}, {""target2"": ""complaining"", ""target2_offset"": 33, ""target2_end"": 44, ""target2_pos"": ""VBG"", ""target2_rank"": 5, ""candidates"": [""kicking""]}, {""target2"": ""frustrated"", ""target2_offset"": 55, ""target2_end"": 65, ""target2_pos"": ""JJ"", ""target2_rank"": 8, ""candidates"": [""disappointed"", ""defeated""]}, {""target2"": ""outside"", ""target2_offset"": 89, ""target2_end"": 96, ""target2_pos"": ""JJ"", ""target2_rank"": 14, ""candidates"": [""international"", ""outdoor"", ""remote"", ""external"", ""away""]}]",5,11,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,Many people nowadays are already complaining about how frustrated they are when they are outside on the street.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
available,no other car was **available** in India except for imported ones and that can be afforded by people with big pockets only.,"['accessible', 'attainable', 'obtainable', 'on hand']",['reachable'],"['accessible', 'attainable', 'obtainable', 'on hand']",[],1,"[3, 5, 5, 'None']",[],no other car was available in India except for imported ones and that can be afforded by people with big pockets only.,available,accessible,14,prolex,available,accessible,17,26,"[{""target2"": ""other"", ""target2_offset"": 3, ""target2_end"": 8, ""target2_pos"": ""JJ"", ""target2_rank"": 1, ""candidates"": [""early"", ""former""]}, {""target2"": ""imported"", ""target2_offset"": 47, ""target2_end"": 55, ""target2_pos"": ""VBN"", ""target2_rank"": 9, ""candidates"": [""spelled""]}, {""target2"": ""ones"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""is"", ""singles""]}, {""target2"": ""afforded"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""VBN"", ""target2_rank"": 15, ""candidates"": [""yielded"", ""opened""]}, {""target2"": ""people"", ""target2_offset"": 89, ""target2_end"": 95, ""target2_pos"": ""NNS"", ""target2_rank"": 17, ""candidates"": [""mass"", ""masses""]}]",5,9,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,no other car was accessible in India except for imported ones and that can be afforded by people with big pockets only.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
available,no other car was **available** in India except for imported ones and that can be afforded by people with big pockets only.,"['accessible', 'attainable', 'obtainable', 'on hand']",['reachable'],"['accessible', 'attainable', 'obtainable', 'on hand']",[],1,"[3, 5, 5, 'None']",[],no other car was available in India except for imported ones and that can be afforded by people with big pockets only.,available,attainable,15,prolex,available,attainable,17,26,"[{""target2"": ""other"", ""target2_offset"": 3, ""target2_end"": 8, ""target2_pos"": ""JJ"", ""target2_rank"": 1, ""candidates"": [""early"", ""former""]}, {""target2"": ""imported"", ""target2_offset"": 47, ""target2_end"": 55, ""target2_pos"": ""VBN"", ""target2_rank"": 9, ""candidates"": [""spelled""]}, {""target2"": ""ones"", ""target2_offset"": 56, ""target2_end"": 60, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""is"", ""singles""]}, {""target2"": ""afforded"", ""target2_offset"": 77, ""target2_end"": 85, ""target2_pos"": ""VBN"", ""target2_rank"": 15, ""candidates"": [""yielded"", ""opened""]}, {""target2"": ""people"", ""target2_offset"": 89, ""target2_end"": 95, ""target2_pos"": ""NNS"", ""target2_rank"": 17, ""candidates"": [""mass"", ""masses""]}]",5,9,,,,,,no_valid_candidate,No provided second substitution was conservative enough to preserve both meaning and grammar.,no other car was attainable in India except for imported ones and that can be afforded by people with big pockets only.,,target2_not_selected;missing_target2;missing_substitute2;missing_sentence_with_both_substitutions;missing_target2_offsets
