target word,Sentence,acc_subs,unacc_subs,prof_acc_subs,prof_unacc_subs,t_words_cefr,prof_acc_cefr,prof_unacc_cefr,clean_sentence,target_clean,substitute,source_row_idx,dataset,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2,target2,substitute2,target2_offset,target2_end,target2_pos,target2_selection_status,target2_selection_reason,sentence_with_substitute1,sentence_with_both_substitutions
goods,One reason why products seem to be better is that the companies compete with other **goods** on price and need to show that their product is better than the other ones.,"['items', 'products']","['commodities', 'merchandise', 'wares']",['items'],['products'],1,[1],[0],One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,goods,items,4,prolex,goods,items,83,88,"[{""target2"": ""reason"", ""target2_offset"": 4, ""target2_end"": 10, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""ground"", ""cause"", ""grounds"", ""intellect"", ""understanding"", ""reasonableness""]}, {""target2"": ""products"", ""target2_offset"": 15, ""target2_end"": 23, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""productions"", ""intersections""]}, {""target2"": ""seem"", ""target2_offset"": 24, ""target2_end"": 28, ""target2_pos"": ""VBP"", ""target2_rank"": 4, ""candidates"": [""look"", ""appear""]}, {""target2"": ""better"", ""target2_offset"": 35, ""target2_end"": 41, ""target2_pos"": ""JJR"", ""target2_rank"": 7, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""companies"", ""target2_offset"": 54, ""target2_end"": 63, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""parties"", ""societies""]}]",5,33,seem,appear,24,28,VBP,selected_conservative,Selected 'appear' for 'seem' from provided candidates; conservative synonym judged to preserve meaning and grammar.,One reason why products seem to be better is that the companies compete with other items on price and need to show that their product is better than the other ones.,One reason why products appear to be better is that the companies compete with other items on price and need to show that their product is better than the other ones.
goods,One reason why products seem to be better is that the companies compete with other **goods** on price and need to show that their product is better than the other ones.,"['items', 'products']","['commodities', 'merchandise', 'wares']",['items'],['products'],1,[1],[0],One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,goods,products,5,prolex,goods,products,83,88,"[{""target2"": ""reason"", ""target2_offset"": 4, ""target2_end"": 10, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""ground"", ""cause"", ""grounds"", ""intellect"", ""understanding"", ""reasonableness""]}, {""target2"": ""products"", ""target2_offset"": 15, ""target2_end"": 23, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""productions"", ""intersections""]}, {""target2"": ""seem"", ""target2_offset"": 24, ""target2_end"": 28, ""target2_pos"": ""VBP"", ""target2_rank"": 4, ""candidates"": [""look"", ""appear""]}, {""target2"": ""better"", ""target2_offset"": 35, ""target2_end"": 41, ""target2_pos"": ""JJR"", ""target2_rank"": 7, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""companies"", ""target2_offset"": 54, ""target2_end"": 63, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""parties"", ""societies""]}]",5,33,seem,appear,24,28,VBP,selected_conservative,Selected 'appear' for 'seem' from provided candidates; conservative synonym judged to preserve meaning and grammar.,One reason why products seem to be better is that the companies compete with other products on price and need to show that their product is better than the other ones.,One reason why products appear to be better is that the companies compete with other products on price and need to show that their product is better than the other ones.
industry,"For example, food standards are the same in the food **industry**.",['business'],"['sector', 'field', 'trade', 'market']",[],['business'],1,[],[0],"For example, food standards are the same in the food industry.",industry,business,6,prolex,industry,business,53,61,"[{""target2"": ""example"", ""target2_offset"": 4, ""target2_end"": 11, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""case"", ""instance"", ""lesson"", ""model"", ""exercise"", ""illustration"", ""representative""]}, {""target2"": ""food"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""NN"", ""target2_rank"": 3, ""candidates"": [""nutrient""]}, {""target2"": ""standards"", ""target2_offset"": 18, ""target2_end"": 27, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""measures""]}, {""target2"": ""same"", ""target2_offset"": 36, ""target2_end"": 40, ""target2_pos"": ""JJ"", ""target2_rank"": 7, ""candidates"": [""like""]}, {""target2"": ""food"", ""target2_offset"": 48, ""target2_end"": 52, ""target2_pos"": ""NN"", ""target2_rank"": 10, ""candidates"": [""nutrient""]}]",5,11,example,instance,4,11,NN,selected_conservative,Selected 'instance' for 'example' from provided candidates; conservative synonym judged to preserve meaning and grammar.,"For example, food standards are the same in the food business.","For instance, food standards are the same in the food business."
claim,I could even **claim** that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,"['argue', 'assert', 'contend']","['maintain', 'state']","['assert', 'contend']",['argue'],2,"[4, 4]",[1],I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,argue,11,prolex,claim,argue,13,18,"[{""target2"": ""even"", ""target2_offset"": 8, ""target2_end"": 12, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""still"", ""yet""]}, {""target2"": ""older"", ""target2_offset"": 24, ""target2_end"": 29, ""target2_pos"": ""JJR"", ""target2_rank"": 5, ""candidates"": [""old"", ""former"", ""elderly"", ""aged"", ""elder"", ""senior"", ""previous"", ""sometime""]}, {""target2"": ""people"", ""target2_offset"": 30, ""target2_end"": 36, ""target2_pos"": ""NNS"", ""target2_rank"": 6, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""better"", ""target2_offset"": 48, ""target2_end"": 54, ""target2_pos"": ""JJR"", ""target2_rank"": 9, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""chances"", ""target2_offset"": 55, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""opportunities"", ""probabilities"", ""prospects"", ""fortunes"", ""hazards""]}]",5,38,chances,opportunities,55,62,NNS,selected_conservative,Selected 'opportunities' for 'chances' from provided candidates; conservative synonym judged to preserve meaning and grammar.,I could even argue that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even argue that older people might have better opportunities to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them
claim,I could even **claim** that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,"['argue', 'assert', 'contend']","['maintain', 'state']","['assert', 'contend']",['argue'],2,"[4, 4]",[1],I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,assert,12,prolex,claim,assert,13,18,"[{""target2"": ""even"", ""target2_offset"": 8, ""target2_end"": 12, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""still"", ""yet""]}, {""target2"": ""older"", ""target2_offset"": 24, ""target2_end"": 29, ""target2_pos"": ""JJR"", ""target2_rank"": 5, ""candidates"": [""old"", ""former"", ""elderly"", ""aged"", ""elder"", ""senior"", ""previous"", ""sometime""]}, {""target2"": ""people"", ""target2_offset"": 30, ""target2_end"": 36, ""target2_pos"": ""NNS"", ""target2_rank"": 6, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""better"", ""target2_offset"": 48, ""target2_end"": 54, ""target2_pos"": ""JJR"", ""target2_rank"": 9, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""chances"", ""target2_offset"": 55, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""opportunities"", ""probabilities"", ""prospects"", ""fortunes"", ""hazards""]}]",5,38,chances,opportunities,55,62,NNS,selected_conservative,Selected 'opportunities' for 'chances' from provided candidates; conservative synonym judged to preserve meaning and grammar.,I could even assert that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even assert that older people might have better opportunities to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them
claim,I could even **claim** that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,"['argue', 'assert', 'contend']","['maintain', 'state']","['assert', 'contend']",['argue'],2,"[4, 4]",[1],I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,contend,13,prolex,claim,contend,13,18,"[{""target2"": ""even"", ""target2_offset"": 8, ""target2_end"": 12, ""target2_pos"": ""RB"", ""target2_rank"": 2, ""candidates"": [""still"", ""yet""]}, {""target2"": ""older"", ""target2_offset"": 24, ""target2_end"": 29, ""target2_pos"": ""JJR"", ""target2_rank"": 5, ""candidates"": [""old"", ""former"", ""elderly"", ""aged"", ""elder"", ""senior"", ""previous"", ""sometime""]}, {""target2"": ""people"", ""target2_offset"": 30, ""target2_end"": 36, ""target2_pos"": ""NNS"", ""target2_rank"": 6, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""better"", ""target2_offset"": 48, ""target2_end"": 54, ""target2_pos"": ""JJR"", ""target2_rank"": 9, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""chances"", ""target2_offset"": 55, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""opportunities"", ""probabilities"", ""prospects"", ""fortunes"", ""hazards""]}]",5,38,chances,opportunities,55,62,NNS,selected_conservative,Selected 'opportunities' for 'chances' from provided candidates; conservative synonym judged to preserve meaning and grammar.,I could even contend that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even contend that older people might have better opportunities to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them
like,But if I **like** swimming in the ocean,"['enjoy', 'fancy']","['prefer', 'love', 'appreciate']","['enjoy', 'fancy']",[],0,"[0, 2]",[],But if I like swimming in the ocean,like,enjoy,23,prolex,like,enjoy,9,13,"[{""target2"": ""swimming"", ""target2_offset"": 14, ""target2_end"": 22, ""target2_pos"": ""VBG"", ""target2_rank"": 4, ""candidates"": [""floating"", ""drowning""]}, {""target2"": ""ocean"", ""target2_offset"": 30, ""target2_end"": 35, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""sea""]}]",2,3,ocean,sea,30,35,NN,selected_conservative,Selected 'sea' for 'ocean' from provided candidates; conservative synonym judged to preserve meaning and grammar.,But if I enjoy swimming in the ocean,But if I enjoy swimming in the sea
like,But if I **like** swimming in the ocean,"['enjoy', 'fancy']","['prefer', 'love', 'appreciate']","['enjoy', 'fancy']",[],0,"[0, 2]",[],But if I like swimming in the ocean,like,fancy,24,prolex,like,fancy,9,13,"[{""target2"": ""swimming"", ""target2_offset"": 14, ""target2_end"": 22, ""target2_pos"": ""VBG"", ""target2_rank"": 4, ""candidates"": [""floating"", ""drowning""]}, {""target2"": ""ocean"", ""target2_offset"": 30, ""target2_end"": 35, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""sea""]}]",2,3,ocean,sea,30,35,NN,selected_conservative,Selected 'sea' for 'ocean' from provided candidates; conservative synonym judged to preserve meaning and grammar.,But if I fancy swimming in the ocean,But if I fancy swimming in the sea
depends,So how people enjoy life really **depends** on their situation.,"['hinges', 'relies', 'is contingent', 'is based', 'rests']",[],"['hinges', 'relies', 'rests', 'is contingent', 'is based']",[],1,"[6, 3, 1, 'None', 'None']",[],So how people enjoy life really depends on their situation.,depends,hinges,25,prolex,depends,hinges,32,39,"[{""target2"": ""people"", ""target2_offset"": 7, ""target2_end"": 13, ""target2_pos"": ""NNS"", ""target2_rank"": 2, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""enjoy"", ""target2_offset"": 14, ""target2_end"": 19, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""love"", ""revel"", ""delight""]}, {""target2"": ""life"", ""target2_offset"": 20, ""target2_end"": 24, ""target2_pos"": ""NN"", ""target2_rank"": 4, ""candidates"": [""living"", ""spirit"", ""biography"", ""lifetime"", ""lifespan"", ""animation""]}, {""target2"": ""really"", ""target2_offset"": 25, ""target2_end"": 31, ""target2_pos"": ""RB"", ""target2_rank"": 5, ""candidates"": [""very"", ""actually"", ""truly"", ""real"", ""genuinely""]}, {""target2"": ""situation"", ""target2_offset"": 49, ""target2_end"": 58, ""target2_pos"": ""NN"", ""target2_rank"": 9, ""candidates"": [""position"", ""place"", ""post"", ""site"", ""spot"", ""office""]}]",5,22,really,truly,25,31,RB,selected_conservative,Selected 'truly' for 'really' from provided candidates; conservative synonym judged to preserve meaning and grammar.,So how people enjoy life really hinges on their situation.,So how people enjoy life truly hinges on their situation.
depends,So how people enjoy life really **depends** on their situation.,"['hinges', 'relies', 'is contingent', 'is based', 'rests']",[],"['hinges', 'relies', 'rests', 'is contingent', 'is based']",[],1,"[6, 3, 1, 'None', 'None']",[],So how people enjoy life really depends on their situation.,depends,relies,26,prolex,depends,relies,32,39,"[{""target2"": ""people"", ""target2_offset"": 7, ""target2_end"": 13, ""target2_pos"": ""NNS"", ""target2_rank"": 2, ""candidates"": [""mass"", ""masses""]}, {""target2"": ""enjoy"", ""target2_offset"": 14, ""target2_end"": 19, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""love"", ""revel"", ""delight""]}, {""target2"": ""life"", ""target2_offset"": 20, ""target2_end"": 24, ""target2_pos"": ""NN"", ""target2_rank"": 4, ""candidates"": [""living"", ""spirit"", ""biography"", ""lifetime"", ""lifespan"", ""animation""]}, {""target2"": ""really"", ""target2_offset"": 25, ""target2_end"": 31, ""target2_pos"": ""RB"", ""target2_rank"": 5, ""candidates"": [""very"", ""actually"", ""truly"", ""real"", ""genuinely""]}, {""target2"": ""situation"", ""target2_offset"": 49, ""target2_end"": 58, ""target2_pos"": ""NN"", ""target2_rank"": 9, ""candidates"": [""position"", ""place"", ""post"", ""site"", ""spot"", ""office""]}]",5,22,really,truly,25,31,RB,selected_conservative,Selected 'truly' for 'really' from provided candidates; conservative synonym judged to preserve meaning and grammar.,So how people enjoy life really relies on their situation.,So how people enjoy life truly relies on their situation.
