row_idx,dataset,sentence,changed_sentence_two,target1,substitute1,target1_offset,target1_end,target2,substitute2,target2_offset,target2_end,orig1_logp,orig2_logp,orig_two_logp,ind_sub1_logp,ind_sub2_logp,sub_two_independent_logp,independent_score,seq_sub1_logp,seq_sub2_logp,sub_two_sequential_logp,sequential_score,orig_context_mean_nll,sub_context_mean_nll,orig_context_sum_nll,sub_context_sum_nll,orig_context_num_tokens,sub_context_num_tokens,context_score,orig_sentence_avg_logp,sub_sentence_avg_logp,whole_sentence_avg_logp_score,orig1_token_ids,orig2_token_ids,ind_sub1_token_ids,ind_sub2_token_ids,seq_sub1_token_ids,seq_sub2_token_ids,orig1_tokens,orig2_tokens,ind_sub1_tokens,ind_sub2_tokens,seq_sub1_tokens,seq_sub2_tokens
0,prolex,One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,One reason why products appear to be better is that the companies compete with other items on price and need to show that their product is better than the other ones.,goods,items,83,88,seem,appear,24,28,-6.65625,-6.25,-12.90625,-7.90625,-6.21875,-14.125,1.21875,-7.90625,-6.25,-14.15625,1.25,2.982295866935484,3.0963646673387095,92.451171875,95.9873046875,31,31,0.11406880040322553,-2.982295866935484,-3.0963646673387095,0.11406880040322553,[10229],[1646],[4957],[3176],[4957],[3176],"[""Ġgoods""]","[""Ġseem""]","[""Ġitems""]","[""Ġappear""]","[""Ġitems""]","[""Ġappear""]"
1,prolex,One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,One reason why products appear to be better is that the companies compete with other products on price and need to show that their product is better than the other ones.,goods,products,83,88,seem,appear,24,28,-6.65625,-6.25,-12.90625,-2.53125,-6.21875,-8.75,-4.15625,-2.59375,-6.25,-8.84375,-4.0625,2.982295866935484,2.803584929435484,92.451171875,86.9111328125,31,31,-0.1787109375,-2.982295866935484,-2.803584929435484,-0.1787109375,[10229],[1646],[3580],[3176],[3580],[3176],"[""Ġgoods""]","[""Ġseem""]","[""Ġproducts""]","[""Ġappear""]","[""Ġproducts""]","[""Ġappear""]"
2,prolex,"For example, food standards are the same in the food industry.","For instance, food standards are the same in the food business.",industry,business,53,61,example,instance,4,11,-1.21875,-3.625,-4.84375,-4.15625,-3.671875,-7.828125,2.984375,-4.09375,-3.375,-7.46875,2.625,3.5920817057291665,3.748779296875,43.10498046875,44.9853515625,12,12,0.15669759114583348,-3.5920817057291665,-3.748779296875,0.15669759114583348,[4491],[1650],[2136],[4227],[2136],[4227],"[""Ġindustry""]","[""Ġexample""]","[""Ġbusiness""]","[""Ġinstance""]","[""Ġbusiness""]","[""Ġinstance""]"
3,prolex,I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even argue that older people might have better opportunities to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,argue,13,18,chances,opportunities,55,62,-7.28125,-5.59375,-12.875,-4.84375,-6.96875,-11.8125,-1.0625,-4.84375,-6.71875,-11.5625,-1.3125,2.944649590386285,2.934561835394965,212.0147705078125,211.2884521484375,72,72,-0.010087754991319642,-2.944649590386285,-2.934561835394965,-0.010087754991319642,[1750],[14512],[9059],[9091],[9059],[9091],"[""Ġclaim""]","[""Ġchances""]","[""Ġargue""]","[""Ġopportunities""]","[""Ġargue""]","[""Ġopportunities""]"
4,prolex,I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even assert that older people might have better opportunities to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,assert,13,18,chances,opportunities,55,62,-7.28125,-5.59375,-12.875,-10.625,-6.96875,-17.59375,4.71875,-10.625,-6.75,-17.375,4.5,2.944649590386285,2.9945475260416665,212.0147705078125,215.607421875,72,72,0.0498979356553817,-2.944649590386285,-2.9945475260416665,0.0498979356553817,[1750],[14512],[4138],[9091],[4138],[9091],"[""Ġclaim""]","[""Ġchances""]","[""Ġassert""]","[""Ġopportunities""]","[""Ġassert""]","[""Ġopportunities""]"
5,prolex,I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even contend that older people might have better opportunities to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,contend,13,18,chances,opportunities,55,62,-7.28125,-5.59375,-12.875,-10.75,-6.96875,-17.71875,4.84375,-10.75,-6.71875,-17.46875,4.59375,2.944649590386285,3.0445064968532987,212.0147705078125,219.2044677734375,72,72,0.09985690646701384,-2.944649590386285,-3.0445064968532987,0.09985690646701384,[1750],[14512],[21244],[9091],[21244],[9091],"[""Ġclaim""]","[""Ġchances""]","[""Ġcontend""]","[""Ġopportunities""]","[""Ġcontend""]","[""Ġopportunities""]"
6,prolex,But if I like swimming in the ocean,But if I enjoy swimming in the sea,like,enjoy,9,13,ocean,sea,30,35,-6.65625,-1.359375,-8.015625,-8.9375,-1.734375,-10.671875,2.65625,-8.9375,-2.015625,-10.953125,2.9375,3.904017857142857,4.073102678571429,27.328125,28.51171875,7,7,0.16908482142857162,-3.904017857142857,-4.073102678571429,0.16908482142857162,[751],[12927],[4264],[6150],[4264],[6150],"[""Ġlike""]","[""Ġocean""]","[""Ġenjoy""]","[""Ġsea""]","[""Ġenjoy""]","[""Ġsea""]"
7,prolex,But if I like swimming in the ocean,But if I fancy swimming in the sea,like,fancy,9,13,ocean,sea,30,35,-6.65625,-1.359375,-8.015625,-10.875,-1.734375,-12.609375,4.59375,-10.875,-1.109375,-11.984375,3.96875,3.904017857142857,4.145089285714286,27.328125,29.015625,7,7,0.24107142857142838,-3.904017857142857,-4.145089285714286,0.24107142857142838,[751],[12927],[18612],[6150],[18612],[6150],"[""Ġlike""]","[""Ġocean""]","[""Ġfancy""]","[""Ġsea""]","[""Ġfancy""]","[""Ġsea""]"
9,prolex,So how people enjoy life really depends on their situation.,So how people enjoy life truly relies on their situation.,depends,relies,32,39,really,truly,25,31,-0.94921875,-6.875,-7.82421875,-6.6875,-8.6875,-15.375,7.55078125,-6.46875,-8.6875,-15.15625,7.33203125,4.040771484375,4.96396484375,40.40771484375,49.6396484375,10,10,0.9231933593750004,-4.040771484375,-4.96396484375,0.9231933593750004,[7024],[1663],[15771],[7777],[15771],[7777],"[""Ġdepends""]","[""Ġreally""]","[""Ġrelies""]","[""Ġtruly""]","[""Ġrelies""]","[""Ġtruly""]"
10,prolex,So how people enjoy life really depends on their situation.,So how people enjoy life truly rests on their situation.,depends,rests,32,39,really,truly,25,31,-0.94921875,-6.875,-7.82421875,-8.0,-8.6875,-16.6875,8.86328125,-7.40625,-8.6875,-16.09375,8.26953125,4.040771484375,5.29765625,40.40771484375,52.9765625,10,10,1.2568847656250002,-4.040771484375,-5.29765625,1.2568847656250002,[7024],[1663],[27945],[7777],[27945],[7777],"[""Ġdepends""]","[""Ġreally""]","[""Ġrests""]","[""Ġtruly""]","[""Ġrests""]","[""Ġtruly""]"
11,prolex,But i do believe that the most difficult thing is to be young because it implies a lot of problems and questions for whose we are not always ready.,But i do believe that the most challenging thing is to be youthful because it implies a lot of problems and questions for whose we are not always ready.,difficult,challenging,31,40,young,youthful,56,61,-4.46875,-7.625,-12.09375,-5.59375,-11.9375,-17.53125,5.4375,-5.65625,-11.75,-17.40625,5.3125,3.459337957974138,3.7623248922413794,100.32080078125,109.107421875,29,29,0.30298693426724155,-3.459337957974138,-3.7623248922413794,0.30298693426724155,[2834],[2872],[11132],[44098],[11132],[44098],"[""Ġdifficult""]","[""Ġyoung""]","[""Ġchallenging""]","[""Ġyouthful""]","[""Ġchallenging""]","[""Ġyouthful""]"
12,prolex,Twenty years ago there were fewer cars: this is a sign of our economic and technological improvement but this improvement has caused us a lot of problems that were unthought years ago.,Twenty years ago there were fewer automobiles: this is a sign of our economic and technological advancement but this improvement has caused us a lot of problems that were unthought years ago.,improvement,advancement,89,100,cars,automobiles,34,38,-5.34375,-6.46875,-11.8125,-3.453125,-9.5,-12.953125,1.140625,-3.453125,-9.5,-12.953125,1.140625,3.328081916360294,3.481402228860294,113.15478515625,118.36767578125,34,34,0.1533203125,-3.328081916360294,-3.481402228860294,0.1533203125,[7756],[8458],[32992],[45056],[32992],[45056],"[""Ġimprovement""]","[""Ġcars""]","[""Ġadvancement""]","[""Ġautomobiles""]","[""Ġadvancement""]","[""Ġautomobiles""]"
