target word,Sentence,acc_subs,unacc_subs,prof_acc_subs,prof_unacc_subs,t_words_cefr,prof_acc_cefr,prof_unacc_cefr,clean_sentence,target_clean,substitute,source_row_idx,dataset,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,appealing,0,prolex,charming,appealing,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,delightful,1,prolex,charming,delightful,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,enchanting,2,prolex,charming,enchanting,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28
charming,"Usually, the best advertisements have the capacity to evoke a **charming** atmosphere, a pleasant concept, or a familiar situation.","['appealing', 'delightful', 'enchanting', 'captivating']",['enticing'],"['appealing', 'delightful', 'enchanting', 'captivating']",[],2,"[4, 3, 5, 4]",[],"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.",charming,captivating,3,prolex,charming,captivating,62,70,"[{""target2"": ""Usually"", ""target2_offset"": 0, ""target2_end"": 7, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Normally""]}, {""target2"": ""best"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""JJS"", ""target2_rank"": 3, ""candidates"": [""good"", ""better"", ""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""advertisements"", ""target2_offset"": 18, ""target2_end"": 32, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""ads""]}, {""target2"": ""capacity"", ""target2_offset"": 42, ""target2_end"": 50, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""content"", ""capacitance"", ""capability""]}, {""target2"": ""concept"", ""target2_offset"": 94, ""target2_end"": 101, ""target2_pos"": ""NN"", ""target2_rank"": 16, ""candidates"": [""conception"", ""construct""]}]",5,28
goods,One reason why products seem to be better is that the companies compete with other **goods** on price and need to show that their product is better than the other ones.,"['items', 'products']","['commodities', 'merchandise', 'wares']",['items'],['products'],1,[1],[0],One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,goods,items,4,prolex,goods,items,83,88,"[{""target2"": ""reason"", ""target2_offset"": 4, ""target2_end"": 10, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""ground"", ""cause"", ""grounds"", ""intellect"", ""understanding"", ""reasonableness""]}, {""target2"": ""products"", ""target2_offset"": 15, ""target2_end"": 23, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""productions"", ""intersections""]}, {""target2"": ""seem"", ""target2_offset"": 24, ""target2_end"": 28, ""target2_pos"": ""VBP"", ""target2_rank"": 4, ""candidates"": [""look"", ""appear""]}, {""target2"": ""better"", ""target2_offset"": 35, ""target2_end"": 41, ""target2_pos"": ""JJR"", ""target2_rank"": 7, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""companies"", ""target2_offset"": 54, ""target2_end"": 63, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""parties"", ""societies""]}]",5,33
goods,One reason why products seem to be better is that the companies compete with other **goods** on price and need to show that their product is better than the other ones.,"['items', 'products']","['commodities', 'merchandise', 'wares']",['items'],['products'],1,[1],[0],One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,goods,products,5,prolex,goods,products,83,88,"[{""target2"": ""reason"", ""target2_offset"": 4, ""target2_end"": 10, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""ground"", ""cause"", ""grounds"", ""intellect"", ""understanding"", ""reasonableness""]}, {""target2"": ""products"", ""target2_offset"": 15, ""target2_end"": 23, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""productions"", ""intersections""]}, {""target2"": ""seem"", ""target2_offset"": 24, ""target2_end"": 28, ""target2_pos"": ""VBP"", ""target2_rank"": 4, ""candidates"": [""look"", ""appear""]}, {""target2"": ""better"", ""target2_offset"": 35, ""target2_end"": 41, ""target2_pos"": ""JJR"", ""target2_rank"": 7, ""candidates"": [""good"", ""beneficial"", ""respectable"", ""well"", ""effective"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""best"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""companies"", ""target2_offset"": 54, ""target2_end"": 63, ""target2_pos"": ""NNS"", ""target2_rank"": 11, ""candidates"": [""parties"", ""societies""]}]",5,33
industry,"For example, food standards are the same in the food **industry**.",['business'],"['sector', 'field', 'trade', 'market']",[],['business'],1,[],[0],"For example, food standards are the same in the food industry.",industry,business,6,prolex,industry,business,53,61,"[{""target2"": ""example"", ""target2_offset"": 4, ""target2_end"": 11, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""case"", ""instance"", ""lesson"", ""model"", ""exercise"", ""illustration"", ""representative""]}, {""target2"": ""food"", ""target2_offset"": 13, ""target2_end"": 17, ""target2_pos"": ""NN"", ""target2_rank"": 3, ""candidates"": [""nutrient""]}, {""target2"": ""standards"", ""target2_offset"": 18, ""target2_end"": 27, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""measures""]}, {""target2"": ""same"", ""target2_offset"": 36, ""target2_end"": 40, ""target2_pos"": ""JJ"", ""target2_rank"": 7, ""candidates"": [""like""]}, {""target2"": ""food"", ""target2_offset"": 48, ""target2_end"": 52, ""target2_pos"": ""NN"", ""target2_rank"": 10, ""candidates"": [""nutrient""]}]",5,11
number,"Moreover, I think we may try to reduce the **number** of cars","['quantity', 'amount', 'total']","['count', 'volume']","['quantity', 'amount', 'total']",[],0,"[1, 1, 2]",[],"Moreover, I think we may try to reduce the number of cars",number,quantity,7,prolex,number,quantity,43,49,"[{""target2"": ""Moreover"", ""target2_offset"": 0, ""target2_end"": 8, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Furthermore""]}, {""target2"": ""think"", ""target2_offset"": 12, ""target2_end"": 17, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""remember"", ""believe"", ""recall"", ""guess"", ""intend"", ""suppose"", ""mean"", ""imagine"", ""conceive"", ""reckon"", ""consider"", ""retrieve""]}, {""target2"": ""reduce"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VB"", ""target2_rank"": 8, ""candidates"": [""cut"", ""dilute"", ""shorten"", ""shrink"", ""trim"", ""slim"", ""thin"", ""contract"", ""concentrate""]}, {""target2"": ""cars"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""automobiles"", ""machines""]}]",4,24
number,"Moreover, I think we may try to reduce the **number** of cars","['quantity', 'amount', 'total']","['count', 'volume']","['quantity', 'amount', 'total']",[],0,"[1, 1, 2]",[],"Moreover, I think we may try to reduce the number of cars",number,amount,8,prolex,number,amount,43,49,"[{""target2"": ""Moreover"", ""target2_offset"": 0, ""target2_end"": 8, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Furthermore""]}, {""target2"": ""think"", ""target2_offset"": 12, ""target2_end"": 17, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""remember"", ""believe"", ""recall"", ""guess"", ""intend"", ""suppose"", ""mean"", ""imagine"", ""conceive"", ""reckon"", ""consider"", ""retrieve""]}, {""target2"": ""reduce"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VB"", ""target2_rank"": 8, ""candidates"": [""cut"", ""dilute"", ""shorten"", ""shrink"", ""trim"", ""slim"", ""thin"", ""contract"", ""concentrate""]}, {""target2"": ""cars"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""automobiles"", ""machines""]}]",4,24
number,"Moreover, I think we may try to reduce the **number** of cars","['quantity', 'amount', 'total']","['count', 'volume']","['quantity', 'amount', 'total']",[],0,"[1, 1, 2]",[],"Moreover, I think we may try to reduce the number of cars",number,total,9,prolex,number,total,43,49,"[{""target2"": ""Moreover"", ""target2_offset"": 0, ""target2_end"": 8, ""target2_pos"": ""RB"", ""target2_rank"": 0, ""candidates"": [""Furthermore""]}, {""target2"": ""think"", ""target2_offset"": 12, ""target2_end"": 17, ""target2_pos"": ""VBP"", ""target2_rank"": 3, ""candidates"": [""remember"", ""believe"", ""recall"", ""guess"", ""intend"", ""suppose"", ""mean"", ""imagine"", ""conceive"", ""reckon"", ""consider"", ""retrieve""]}, {""target2"": ""reduce"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VB"", ""target2_rank"": 8, ""candidates"": [""cut"", ""dilute"", ""shorten"", ""shrink"", ""trim"", ""slim"", ""thin"", ""contract"", ""concentrate""]}, {""target2"": ""cars"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""automobiles"", ""machines""]}]",4,24
