dataset,source_target_id,source_substitute_id,clean_sentence,target_clean,substitute,prefix,suffix,target_offset,pos,label_score,num_labels,source_row_idx,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2,target2,substitute2,target2_offset,target2_end,target2_pos,target2_selection_status,target2_selection_reason,sentence_with_substitute1,sentence_with_both_substitutions
swords,t:a833dca20aa9206085f839e9fe915330c43eab12,s:dead2a6ee1a5ea99aa6b7f34fd33306c7d27f8f4,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.",approving,praise,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about "," of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.",168,VERB,0.6,10,0,approving,praise,168,177,"[{""target2"": ""became"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VBD"", ""target2_rank"": 3, ""candidates"": [""turned"", ""suited""]}, {""target2"": ""lovers"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""fans""]}, {""target2"": ""evening"", ""target2_offset"": 51, ""target2_end"": 58, ""target2_pos"": ""NN"", ""target2_rank"": 6, ""candidates"": [""eve"", ""even""]}, {""target2"": ""good"", ""target2_offset"": 68, ""target2_end"": 72, ""target2_pos"": ""JJ"", ""target2_rank"": 10, ""candidates"": [""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""made"", ""target2_offset"": 130, ""target2_end"": 134, ""target2_pos"": ""VBD"", ""target2_rank"": 18, ""candidates"": [""caused"", ""reached"", ""created"", ""produced"", ""constructed"", ""formed"", ""earned"", ""prepared"", ""established"", ""cooked"", ""induced"", ""fixed"", ""named"", ""gained"", ""worked"", ""stimulated"", ""realized"", ""pissed""]}]",5,42,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about praise of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.","Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about praise of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her."
swords,t:db29fd2ed5e19a7a180f02d0896c8725b996c0dc,s:dc428a2ef3aa6572017b4e49b41fda1df5cf1a1c,"""It's an honor --"" 
                 ""Of course,"" I said. ""That's why I cannot take payment.""",said,reply,"""It's an honor --"" 
                 ""Of course,"" I ",". ""That's why I cannot take payment.""",52,VERB,0.7,10,1,said,reply,52,56,"[{""target2"": ""honor"", ""target2_offset"": 9, ""target2_end"": 14, ""target2_pos"": ""NN"", ""target2_rank"": 4, ""candidates"": [""award"", ""honour"", ""purity""]}, {""target2"": ""course"", ""target2_offset"": 41, ""target2_end"": 47, ""target2_pos"": ""NN"", ""target2_rank"": 9, ""candidates"": [""grade"", ""class"", ""line"", ""track"", ""row"", ""trend"", ""form"", ""path""]}, {""target2"": ""take"", ""target2_offset"": 79, ""target2_end"": 83, ""target2_pos"": ""VB"", ""target2_rank"": 21, ""candidates"": [""require"", ""bring"", ""need"", ""remove"", ""choose"", ""select"", ""have"", ""lead"", ""consider"", ""carry"", ""accept"", ""demand"", ""deal"", ""study"", ""assume"", ""involve"", ""guide"", ""aim"", ""shoot"", ""fill"", ""read"", ""direct"", ""acquire"", ""get"", ""claim"", ""learn"", ""consume"", ""film"", ""adopt""]}]",3,40,take,accept,79,83,VB,selected,contextual collocation synonym from provided candidates,"""It's an honor --"" 
                 ""Of course,"" I reply. ""That's why I cannot take payment.""","""It's an honor --"" 
                 ""Of course,"" I reply. ""That's why I cannot accept payment."""
swords,t:390905cbeaf9180a64aab0bad0eb822aba97537f,s:c9f393f8b395ee4b9dfa5ba4455c018ef32f2c6f,"For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. Sales rose to $9.8 million from $8.9 million.",Sales,revenue,"For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. ", rose to $9.8 million from $8.9 million.,159,NOUN,0.6,10,2,Sales,revenue,159,164,"[{""target2"": ""company"", ""target2_offset"": 25, ""target2_end"": 32, ""target2_pos"": ""NN"", ""target2_rank"": 6, ""candidates"": [""party"", ""caller"", ""fellowship"", ""society""]}, {""target2"": ""reported"", ""target2_offset"": 33, ""target2_end"": 41, ""target2_pos"": ""VBD"", ""target2_rank"": 7, ""candidates"": [""described"", ""covered"", ""accounted""]}, {""target2"": ""loss"", ""target2_offset"": 48, ""target2_end"": 52, ""target2_pos"": ""NN"", ""target2_rank"": 10, ""candidates"": [""passing"", ""release"", ""red"", ""exit"", ""going"", ""departure"", ""expiration"", ""deprivation""]}, {""target2"": ""share"", ""target2_offset"": 80, ""target2_end"": 85, ""target2_pos"": ""NN"", ""target2_rank"": 19, ""candidates"": [""contribution"", ""part"", ""percentage"", ""portion"", ""parcel""]}, {""target2"": ""rose"", ""target2_offset"": 165, ""target2_end"": 169, ""target2_pos"": ""VBD"", ""target2_rank"": 36, ""candidates"": [""developed"", ""originated"", ""mounted"", ""lifted"", ""climbed"", ""jumped"", ""surfaced"", ""heightened"", ""proved""]}]",5,29,rose,climbed,165,169,VBD,selected,contextual increase-verb synonym from provided candidates,"For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. revenue rose to $9.8 million from $8.9 million.","For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. revenue climbed to $9.8 million from $8.9 million."
swords,t:07092056fb73449944fc2ff340b04f9794ac3695,s:cff9b2b97ad48a8479042f88b758ad06ded2e68d,"He lives around here somewhere. I suppose he was attracted to the
                    commotion up the hill."" 
                 ""Ah,"" Malaquez said.",attracted,seduce,He lives around here somewhere. I suppose he was ," to the
                    commotion up the hill."" 
                 ""Ah,"" Malaquez said.",49,VERB,0.6,10,3,attracted,seduce,49,58,"[{""target2"": ""lives"", ""target2_offset"": 3, ""target2_end"": 8, ""target2_pos"": ""VBZ"", ""target2_rank"": 1, ""candidates"": [""survives"", ""knows"", ""experiences"", ""lasts"", ""exists"", ""bes""]}, {""target2"": ""suppose"", ""target2_offset"": 34, ""target2_end"": 41, ""target2_pos"": ""VBP"", ""target2_rank"": 6, ""candidates"": [""think"", ""guess"", ""say"", ""imagine"", ""reckon"", ""speculate"", ""hypothesize"", ""conjecture""]}, {""target2"": ""said"", ""target2_offset"": 143, ""target2_end"": 147, ""target2_pos"": ""VBD"", ""target2_rank"": 22, ""candidates"": [""stated"", ""supposed"", ""ordered"", ""alleged"", ""pronounced"", ""articulated""]}]",3,20,suppose,think,34,41,VBP,selected,high-confidence synonym from provided candidates,"He lives around here somewhere. I suppose he was seduce to the
                    commotion up the hill."" 
                 ""Ah,"" Malaquez said.","He lives around here somewhere. I think he was seduce to the
                    commotion up the hill."" 
                 ""Ah,"" Malaquez said."
swords,t:d89ec6d2b05aa82c06a409a2f8ae09488887e183,s:d80d7b5f6fb0aec5e9a6663bc69eb3468cb2d7cb,"If science
                    finds a way to safely free the subjects of Emil's art, perhaps the I who reads
                    this file will know that my decision is wise. But I cannot stop thinking that I
                    was never afraid of losing Tasha to brain damage or death. My fear is that she
                    would live, and I would learn that I had lost her long before Emil Malaquez
                    translated her into a thing that can be kept, admired, and loved.",death,casualty,"If science
                    finds a way to safely free the subjects of Emil's art, perhaps the I who reads
                    this file will know that my decision is wise. But I cannot stop thinking that I
                    was never afraid of losing Tasha to brain damage or ",". My fear is that she
                    would live, and I would learn that I had lost her long before Emil Malaquez
                    translated her into a thing that can be kept, admired, and loved.",282,NOUN,0.6,10,4,death,casualty,282,287,"[{""target2"": ""science"", ""target2_offset"": 3, ""target2_end"": 10, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""skill""]}, {""target2"": ""finds"", ""target2_offset"": 31, ""target2_end"": 36, ""target2_pos"": ""VBZ"", ""target2_rank"": 2, ""candidates"": [""feels"", ""sees"", ""determines"", ""gets"", ""notices"", ""observes"", ""receives"", ""detects"", ""discovers"", ""obtains"", ""encounters"", ""witness"", ""bumps"", ""rules"", ""chances"", ""happens""]}, {""target2"": ""free"", ""target2_offset"": 53, ""target2_end"": 57, ""target2_pos"": ""VB"", ""target2_rank"": 7, ""candidates"": [""release"", ""rid"", ""relieve"", ""loose"", ""exempt"", ""discharge"", ""resign"", ""justify""]}, {""target2"": ""subjects"", ""target2_offset"": 62, ""target2_end"": 70, ""target2_pos"": ""NNS"", ""target2_rank"": 9, ""candidates"": [""matters"", ""fields"", ""themes"", ""topics"", ""cases"", ""studies"", ""issues"", ""nationals"", ""disciplines"", ""contents""]}, {""target2"": ""perhaps"", ""target2_offset"": 86, ""target2_end"": 93, ""target2_pos"": ""RB"", ""target2_rank"": 15, ""candidates"": [""maybe"", ""possibly""]}]",5,37,free,release,53,57,VB,selected,contextual verb synonym from provided candidates,"If science
                    finds a way to safely free the subjects of Emil's art, perhaps the I who reads
                    this file will know that my decision is wise. But I cannot stop thinking that I
                    was never afraid of losing Tasha to brain damage or casualty. My fear is that she
                    would live, and I would learn that I had lost her long before Emil Malaquez
                    translated her into a thing that can be kept, admired, and loved.","If science
                    finds a way to safely release the subjects of Emil's art, perhaps the I who reads
                    this file will know that my decision is wise. But I cannot stop thinking that I
                    was never afraid of losing Tasha to brain damage or casualty. My fear is that she
                    would live, and I would learn that I had lost her long before Emil Malaquez
                    translated her into a thing that can be kept, admired, and loved."
swords,t:076a9bd400c57f970ef701f4ef9405db136e9dfc,s:a82d331780f2d4ea40167bd7369f57f40fd78645,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, posted earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.",posted,report,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, "," earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.",311,VERB,0.6,10,5,posted,report,311,317,"[{""target2"": ""earnings"", ""target2_offset"": 14, ""target2_end"": 22, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""wages"", ""pays"", ""salaries"", ""profits"", ""nets""]}, {""target2"": ""lines"", ""target2_offset"": 57, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 7, ""candidates"": [""jobs"", ""courses"", ""notes"", ""business"", ""tunes"", ""occupations"", ""strains"", ""contrasts"", ""lineages"", ""cables"", ""stocks"", ""origins"", ""channels"", ""arguments"", ""pipelines""]}, {""target2"": ""fell"", ""target2_offset"": 63, ""target2_end"": 67, ""target2_pos"": ""VBD"", ""target2_rank"": 8, ""candidates"": [""decreased"", ""descended"", ""diminished"", ""comed"", ""flowed"", ""passed"", ""accrued"", ""settled"", ""returned"", ""vanished"", ""precipitated""]}, {""target2"": ""latest"", ""target2_offset"": 79, ""target2_end"": 85, ""target2_pos"": ""JJS"", ""target2_rank"": 13, ""candidates"": [""late"", ""previous"", ""recent"", ""former"", ""later""]}, {""target2"": ""quarter"", ""target2_offset"": 86, ""target2_end"": 93, ""target2_pos"": ""NN"", ""target2_rank"": 14, ""candidates"": [""stern"", ""tail"", ""fourth""]}]",5,39,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, report earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.","The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, report earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period."
swords,t:b53fc0ecb073822aa71f5e87c354e43c36cde7fc,s:21350079ee7e98527d61182ab0dfea66b6a351dd,"He paused before a bedroom door. ""I should go in first. To prepare her.""",go,proceed,"He paused before a bedroom door. ""I should "," in first. To prepare her.""",43,VERB,0.6,10,6,go,proceed,43,45,"[{""target2"": ""paused"", ""target2_offset"": 3, ""target2_end"": 9, ""target2_pos"": ""VBD"", ""target2_rank"": 1, ""candidates"": [""hesitated""]}, {""target2"": ""bedroom"", ""target2_offset"": 19, ""target2_end"": 26, ""target2_pos"": ""NN"", ""target2_rank"": 4, ""candidates"": [""chamber""]}, {""target2"": ""prepare"", ""target2_offset"": 59, ""target2_end"": 66, ""target2_pos"": ""VB"", ""target2_rank"": 13, ""candidates"": [""train"", ""cook"", ""fix"", ""set"", ""develop"", ""educate"", ""organize"", ""groom"", ""ready"", ""devise"", ""make""]}]",3,13,bedroom,chamber,19,26,NN,selected,high-confidence synonym from provided candidates,"He paused before a bedroom door. ""I should proceed in first. To prepare her.""","He paused before a chamber door. ""I should proceed in first. To prepare her."""
swords,t:12c9a54971523852f6f0d375ed9b18e3f354d751,s:317999032c8a43d35aa4821c5879d423a33477e1,"I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will mention it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.",mention,communicate,"I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will "," it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.",112,VERB,0.7,10,7,mention,communicate,112,119,"[{""target2"": ""disguised"", ""target2_offset"": 7, ""target2_end"": 16, ""target2_pos"": ""VBN"", ""target2_rank"": 2, ""candidates"": [""masked""]}, {""target2"": ""play"", ""target2_offset"": 27, ""target2_end"": 31, ""target2_pos"": ""NN"", ""target2_rank"": 6, ""candidates"": [""drama"", ""turn"", ""gambling"", ""fun"", ""bid"", ""sport"", ""gaming"", ""maneuver""]}, {""target2"": ""deleted"", ""target2_offset"": 37, ""target2_end"": 44, ""target2_pos"": ""VBD"", ""target2_rank"": 9, ""candidates"": [""edited"", ""erased"", ""canceled""]}, {""target2"": ""case"", ""target2_offset"": 127, ""target2_end"": 131, ""target2_pos"": ""NN"", ""target2_rank"": 21, ""candidates"": [""instance"", ""type"", ""event"", ""character"", ""suit"", ""cause"", ""subject"", ""sheath"", ""face"", ""font"", ""slip"", ""shell"", ""casing"", ""example"", ""lawsuit"", ""showcase"", ""eccentric""]}, {""target2"": ""decide"", ""target2_offset"": 138, ""target2_end"": 144, ""target2_pos"": ""VBP"", ""target2_rank"": 23, ""candidates"": [""settle"", ""determine"", ""resolve""]}]",5,32,disguised,masked,7,16,VBN,selected,high-confidence synonym from provided candidates,"I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will communicate it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.","I have masked us in the play, and deleted one brief melodramatic
                    interchange. Now I will communicate it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo."
swords,t:12da646fc937e3a8c3d61b828e4758d45e465f6e,s:b596e05eb3ef566502da663648caf64bd1a1c193,"I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, perhaps even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.",perhaps,possibly,"I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, "," even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.",112,ADV,0.8,10,8,perhaps,possibly,112,119,"[{""target2"": ""fear"", ""target2_offset"": 2, ""target2_end"": 6, ""target2_pos"": ""VBP"", ""target2_rank"": 1, ""candidates"": [""dread""]}, {""target2"": ""true"", ""target2_offset"": 19, ""target2_end"": 23, ""target2_pos"": ""JJ"", ""target2_rank"": 5, ""candidates"": [""genuine"", ""honest"", ""reliable"", ""lawful"", ""straight""]}, {""target2"": ""reasons"", ""target2_offset"": 68, ""target2_end"": 75, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""grounds"", ""causes"", ""reasonableness""]}, {""target2"": ""write"", ""target2_offset"": 78, ""target2_end"": 83, ""target2_pos"": ""VBP"", ""target2_rank"": 14, ""candidates"": [""compose"", ""pen"", ""spell"", ""publish"", ""save""]}, {""target2"": ""remember"", ""target2_offset"": 92, ""target2_end"": 100, ""target2_pos"": ""VB"", ""target2_rank"": 18, ""candidates"": [""recall"", ""think"", ""commend"", ""retrieve""]}]",5,18,true,genuine,19,23,JJ,selected,high-confidence synonym from provided candidates,"I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, possibly even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.","I fear that may be genuine for me. Add
                    this to the reasons I write now: to remember something, possibly even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper."
swords,t:62211d786ee34fa1f2e6a174f02be22d7ffd9bc4,s:597a9016cea741cee531c024e721d384e7f7b6fc,"A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's work, it
                    was a very minor effort. But then, I was in no mood to consider art.",work,business,"A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's ",", it
                    was a very minor effort. But then, I was in no mood to consider art.",204,NOUN,0.6,10,9,work,business,204,208,"[{""target2"": ""narrow"", ""target2_offset"": 8, ""target2_end"": 14, ""target2_pos"": ""JJ"", ""target2_rank"": 3, ""candidates"": [""minute""]}, {""target2"": ""stood"", ""target2_offset"": 43, ""target2_end"": 48, ""target2_pos"": ""VBD"", ""target2_rank"": 5, ""candidates"": [""suffered"", ""tolerated"", ""endured"", ""resisted"", ""digested"", ""supported""]}, {""target2"": ""center"", ""target2_offset"": 56, ""target2_end"": 62, ""target2_pos"": ""NN"", ""target2_rank"": 8, ""candidates"": [""middle"", ""heart"", ""core"", ""essence"", ""substance"", ""sum"", ""eye"", ""mall"", ""meat"", ""centre"", ""kernel"", ""marrow""]}, {""target2"": ""room"", ""target2_offset"": 70, ""target2_end"": 74, ""target2_pos"": ""NN"", ""target2_rank"": 11, ""candidates"": [""way""]}, {""target2"": ""sand"", ""target2_offset"": 76, ""target2_end"": 80, ""target2_pos"": ""NN"", ""target2_rank"": 13, ""candidates"": [""guts"", ""backbone""]}]",5,22,center,middle,56,62,NN,selected,high-confidence synonym from provided candidates,"A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's business, it
                    was a very minor effort. But then, I was in no mood to consider art.","A tall, narrow
                    stopbox stood in the middle of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's business, it
                    was a very minor effort. But then, I was in no mood to consider art."
