row_idx,dataset,sentence,changed_sentence_two,target1,substitute1,target1_offset,target1_end,target2,substitute2,target2_offset,target2_end,orig1_logp,orig2_logp,orig_two_logp,ind_sub1_logp,ind_sub2_logp,sub_two_independent_logp,independent_score,seq_sub1_logp,seq_sub2_logp,sub_two_sequential_logp,sequential_score,orig_context_mean_nll,sub_context_mean_nll,orig_context_sum_nll,sub_context_sum_nll,orig_context_num_tokens,sub_context_num_tokens,context_score,orig_sentence_avg_logp,sub_sentence_avg_logp,whole_sentence_avg_logp_score,orig1_token_ids,orig2_token_ids,ind_sub1_token_ids,ind_sub2_token_ids,seq_sub1_token_ids,seq_sub2_token_ids,orig1_tokens,orig2_tokens,ind_sub1_tokens,ind_sub2_tokens,seq_sub1_tokens,seq_sub2_tokens
0,swords,"For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. Sales rose to $9.8 million from $8.9 million.","For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. Revenue climbed to $9.8 million from $8.9 million.",Sales,Revenue,159,164,rose,climbed,165,169,-7.8125,-1.734375,-9.546875,-8.25,-4.15625,-12.40625,2.859375,-8.25,-4.09375,-12.34375,2.796875,1.7867290513557301,1.8379348704689427,101.84355592727661,104.76228761672974,57,57,0.051205819113212536,-1.7867290513557301,-1.8379348704689427,0.051205819113212536,[22344],[9461],[27464],[21863],[27464],[21863],"[""ĠSales""]","[""Ġrose""]","[""ĠRevenue""]","[""Ġclimbed""]","[""ĠRevenue""]","[""Ġclimbed""]"
3,swords,"He paused before a bedroom door. ""I should go in first. To prepare her.""","He paused before a chamber door. ""I should proceed in first. To prepare her.""",go,proceed,43,45,bedroom,chamber,19,26,-2.625,-8.4375,-11.0625,-10.5,-9.0,-19.5,8.4375,-9.5625,-9.0625,-18.625,7.5625,4.0271139705882355,4.981617647058823,68.4609375,84.6875,17,17,0.9545036764705879,-4.0271139705882355,-4.981617647058823,0.9545036764705879,[564],[14098],[4262],[9320],[4262],[9320],"[""Ġgo""]","[""Ġbedroom""]","[""Ġproceed""]","[""Ġchamber""]","[""Ġproceed""]","[""Ġchamber""]"
4,swords,"I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will mention it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.","I have masked us in the play, and deleted one brief melodramatic
                    interchange. Now I will communicate it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.",mention,communicate,112,119,disguised,masked,7,16,-6.53125,-14.0625,-20.59375,-8.6875,-12.6875,-21.375,0.78125,-8.6875,-12.6875,-21.375,0.78125,4.355199353448276,4.552893276872306,252.6015625,264.06781005859375,58,58,0.1976939234240298,-4.355199353448276,-4.552893276872306,0.1976939234240298,[3748],[49932],[13791],[34741],[13791],[34741],"[""Ġmention""]","[""Ġdisguised""]","[""Ġcommunicate""]","[""Ġmasked""]","[""Ġcommunicate""]","[""Ġmasked""]"
5,swords,"I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, perhaps even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.","I fear that may be genuine for me. Add
                    this to the reasons I write now: to remember something, possibly even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.",perhaps,possibly,112,119,true,genuine,19,23,-5.9375,-3.03125,-8.96875,-8.8125,-10.8125,-19.625,10.65625,-8.5,-10.8125,-19.3125,10.34375,4.220369815826416,4.44707897731236,236.3407096862793,249.0364227294922,56,56,0.22670916148594422,-4.220369815826416,-4.44707897731236,0.22670916148594422,[4931],[2032],[6830],[13241],[6830],[13241],"[""Ġperhaps""]","[""Ġtrue""]","[""Ġpossibly""]","[""Ġgenuine""]","[""Ġpossibly""]","[""Ġgenuine""]"
6,swords,"A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's work, it
                    was a very minor effort. But then, I was in no mood to consider art.","A tall, narrow
                    stopbox stood in the middle of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's business, it
                    was a very minor effort. But then, I was in no mood to consider art.",work,business,204,208,center,middle,56,62,-5.0625,-1.75,-6.8125,-7.5625,-1.125,-8.6875,1.875,-7.65625,-1.125,-8.78125,1.96875,3.940204796424279,4.1069894643930285,256.1133117675781,266.9543151855469,65,65,0.16678466796874947,-3.940204796424279,-4.1069894643930285,0.16678466796874947,[789],[4055],[2136],[4766],[2136],[4766],"[""Ġwork""]","[""Ġcenter""]","[""Ġbusiness""]","[""Ġmiddle""]","[""Ġbusiness""]","[""Ġmiddle""]"
7,swords,"Yes, Self, I am also bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments."" The mindwipe
                    will take its creation from my future self --but time too often does that
                    without aid.","Yes, Self, I am likewise bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my new play, ""Captured Moments."" The mindwipe
                    will take its creation from my future self --but time too often does that
                    without aid.",latest,new,287,293,also,likewise,16,20,-4.3125,-6.40625,-10.71875,-3.421875,-11.3125,-14.734375,4.015625,-3.46875,-11.375,-14.84375,4.125,4.280872641669379,4.290343263414171,385.27853775024414,386.1308937072754,90,90,0.009470621744791963,-4.280872641669379,-4.290343263414171,0.009470621744791963,[6323],[671],[747],[21223],[747],[21223],"[""Ġlatest""]","[""Ġalso""]","[""Ġnew""]","[""Ġlikewise""]","[""Ġnew""]","[""Ġlikewise""]"
8,swords,"The other concern wasn't identified.  

Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial benefit to Ratners."" In London at mid-afternoon yesterday, Ratners's shares were up 2 pence (1.26 cents), at 260 pence ($1.64).","The other concern wasn't identified.  

Ratners's chairman, Gerald Ratner, stated the deal remains of ""substantial help to Ratners."" In London at mid-afternoon yesterday, Ratners's shares were up 2 pence (1.26 cents), at 260 pence ($1.64).",benefit,help,113,120,said,stated,75,79,-2.59375,-2.421875,-5.015625,-8.5625,-7.25,-15.8125,10.796875,-8.6875,-7.25,-15.9375,10.921875,3.461406980242048,3.6417718312096974,218.06863975524902,229.43162536621094,63,63,0.1803648509676492,-3.461406980242048,-3.6417718312096974,0.1803648509676492,[5649],[753],[1361],[4767],[1361],[4767],"[""Ġbenefit""]","[""Ġsaid""]","[""Ġhelp""]","[""Ġstated""]","[""Ġhelp""]","[""Ġstated""]"
9,swords,"Xerox Corp. has told employees in its Crum & Forster personal insurance operations that it is laying off about 300 people, or 25% of the staff.  

A spokeswoman for Crum & Forster said employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move.","Xerox Corp. has told employees in its Crum & Forster personal insurance operations that it is laying off about 300 folks, or 25% of the staff.  

A spokeswoman for Crum & Forster stated employees were told early this week that numerous staff functions for the personal insurance lines were going to be centralized as a cost-cutting move.",people,folks,115,121,said,stated,180,184,-1.4921875,-0.84375,-2.3359375,-10.3125,-7.46875,-17.78125,15.4453125,-10.3125,-7.03125,-17.34375,15.0078125,2.729170905219184,2.9738830990261502,196.50030517578125,214.1195831298828,72,72,0.2447121938069663,-2.729170905219184,-2.9738830990261502,0.2447121938069663,[952],[753],[12633],[4767],[12633],[4767],"[""Ġpeople""]","[""Ġsaid""]","[""Ġfolks""]","[""Ġstated""]","[""Ġfolks""]","[""Ġstated""]"
10,swords,"They say the cubes will outlast
                    planets and suns, that when the universe dies, the works of Malaquez and his
                    followers will be the last things seen in the final wink of God's eye. 
                 Yes, Self, I am also bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments.""","They say the blocks will outlast
                    planets and suns, that when the universe dies, the works of Malaquez and his
                    followers will be the last things seen in the final wink of God's eye. 
                 Yes, Self, I am also disturb that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments.""",bothered,disturb,259,267,cubes,blocks,13,18,-9.25,-11.5,-20.75,-11.875,-9.875,-21.75,1.0,-11.9375,-9.875,-21.8125,1.0625,3.718546014083059,3.7811391730057564,423.91424560546875,431.04986572265625,114,114,0.06259315892269735,-3.718546014083059,-3.7811391730057564,0.06259315892269735,[28860],[37072],[11639],[8336],[11639],[8336],"[""Ġbothered""]","[""Ġcubes""]","[""Ġdisturb""]","[""Ġblocks""]","[""Ġdisturb""]","[""Ġblocks""]"
11,swords,"""Tell me, Malaquez."" 
                 ""She wanted to be famous. She did!","""Tell me, Malaquez."" 
                 ""She desired to be renowned. She did!",famous,renowned,57,63,wanted,desired,44,50,-6.125,-5.21875,-11.34375,-10.9375,-10.0625,-21.0,9.65625,-9.1875,-10.0,-19.1875,7.84375,4.9115953947368425,5.465049342105263,93.3203125,103.8359375,19,19,0.5534539473684204,-4.9115953947368425,-5.465049342105263,0.5534539473684204,[8530],[3078],[30101],[6799],[30101],[6799],"[""Ġfamous""]","[""Ġwanted""]","[""Ġrenowned""]","[""Ġdesired""]","[""Ġrenowned""]","[""Ġdesired""]"
