row_idx,dataset,sentence,changed_sentence,prefix,suffix,target,substitute,orig_logp,sub_logp,orig_nll,sub_nll,score,orig_token_ids,sub_token_ids,orig_tokens,sub_tokens,orig_num_tokens,sub_num_tokens,orig_context_mean_nll,sub_context_mean_nll,orig_context_sum_nll,sub_context_sum_nll,orig_context_num_tokens,sub_context_num_tokens,context_score,orig_context_avg_logp,sub_context_avg_logp,context_logp_score
0,prolex,"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.","Usually, the best advertisements have the capacity to evoke a appealing atmosphere, a pleasant concept, or a familiar situation.","Usually, the best advertisements have the capacity to evoke a "," atmosphere, a pleasant concept, or a familiar situation.",charming,appealing,-10.0,-11.625,10.0,11.625,1.625,[25507],[23176],"[""Ġcharming""]","[""Ġappealing""]",1,1,3.78125,3.90625,87.0,90.0,23,23,0.125,-3.78125,-3.90625,0.125
1,prolex,"Usually, the best advertisements have the capacity to evoke a charming atmosphere, a pleasant concept, or a familiar situation.","Usually, the best advertisements have the capacity to evoke a delightful atmosphere, a pleasant concept, or a familiar situation.","Usually, the best advertisements have the capacity to evoke a "," atmosphere, a pleasant concept, or a familiar situation.",charming,delightful,-10.0,-9.5,10.0,9.5,-0.5,[25507],[34668],"[""Ġcharming""]","[""Ġdelightful""]",1,1,3.78125,3.765625,87.0,86.5,23,23,-0.015625,-3.78125,-3.765625,-0.015625
4,prolex,One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,One reason why products seem to be better is that the companies compete with other items on price and need to show that their product is better than the other ones.,One reason why products seem to be better is that the companies compete with other , on price and need to show that their product is better than the other ones.,goods,items,-6.625,-7.9375,6.625,7.9375,1.3125,[10229],[4957],"[""Ġgoods""]","[""Ġitems""]",1,1,2.96875,3.109375,92.0,96.5,31,31,0.140625,-2.96875,-3.109375,0.140625
5,prolex,One reason why products seem to be better is that the companies compete with other goods on price and need to show that their product is better than the other ones.,One reason why products seem to be better is that the companies compete with other products on price and need to show that their product is better than the other ones.,One reason why products seem to be better is that the companies compete with other , on price and need to show that their product is better than the other ones.,goods,products,-6.625,-2.640625,6.625,2.640625,-3.984375,[10229],[3580],"[""Ġgoods""]","[""Ġproducts""]",1,1,2.96875,2.796875,92.0,86.5,31,31,-0.171875,-2.96875,-2.796875,-0.171875
6,prolex,"For example, food standards are the same in the food industry.","For example, food standards are the same in the food business.","For example, food standards are the same in the food ",.,industry,business,-1.2265625,-4.15625,1.2265625,4.15625,2.9296875,[4491],[2136],"[""Ġindustry""]","[""Ġbusiness""]",1,1,3.578125,3.796875,43.0,45.5,12,12,0.21875,-3.578125,-3.796875,0.21875
7,prolex,"Moreover, I think we may try to reduce the number of cars","Moreover, I think we may try to reduce the quantity of cars","Moreover, I think we may try to reduce the ", of cars,number,quantity,-1.9921875,-6.375,1.9921875,6.375,4.3828125,[1180],[10671],"[""Ġnumber""]","[""Ġquantity""]",1,1,3.078125,3.484375,37.0,41.75,12,12,0.40625,-3.078125,-3.484375,0.40625
8,prolex,"Moreover, I think we may try to reduce the number of cars","Moreover, I think we may try to reduce the amount of cars","Moreover, I think we may try to reduce the ", of cars,number,amount,-1.9921875,-3.0,1.9921875,3.0,1.0078125,[1180],[2408],"[""Ġnumber""]","[""Ġamount""]",1,1,3.078125,3.25,37.0,39.0,12,12,0.171875,-3.078125,-3.25,0.171875
9,prolex,"Moreover, I think we may try to reduce the number of cars","Moreover, I think we may try to reduce the total of cars","Moreover, I think we may try to reduce the ", of cars,number,total,-1.9921875,-4.8125,1.9921875,4.8125,2.8203125,[1180],[2264],"[""Ġnumber""]","[""Ġtotal""]",1,1,3.078125,3.75,37.0,45.0,12,12,0.671875,-3.078125,-3.75,0.671875
10,prolex,Many people nowadays are already complaining about how frustrated they are when they are outside on the road.,Many people nowadays are already complaining about how frustrated they are when they are outside on the street.,Many people nowadays are already complaining about how frustrated they are when they are outside on the ,.,road,street,-2.234375,-1.734375,2.234375,1.734375,-0.5,[3971],[6406],"[""Ġroad""]","[""Ġstreet""]",1,1,3.1875,3.15625,57.25,56.75,18,18,-0.03125,-3.1875,-3.15625,-0.03125
11,prolex,I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even argue that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even , that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,argue,-7.21875,-4.84375,7.21875,4.84375,-2.375,[1750],[9059],"[""Ġclaim""]","[""Ġargue""]",1,1,2.9375,2.890625,212.0,208.0,72,72,-0.046875,-2.9375,-2.890625,-0.046875
12,prolex,I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even assert that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even , that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,assert,-7.21875,-10.625,7.21875,10.625,3.40625,[1750],[4138],"[""Ġclaim""]","[""Ġassert""]",1,1,2.9375,2.96875,212.0,214.0,72,72,0.03125,-2.9375,-2.96875,0.03125
13,prolex,I could even claim that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even contend that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,I could even , that older people might have better chances to enjoy their lives much more than younger people and this is simply because they have much more time than younger people who spend most of their time working and spinning in the wheel of life to cover their basic needs while older people who are most likely retired can find some time for their leisure and nobody would belittle them,claim,contend,-7.21875,-10.75,7.21875,10.75,3.53125,[1750],[21244],"[""Ġclaim""]","[""Ġcontend""]",1,1,2.9375,3.015625,212.0,217.0,72,72,0.078125,-2.9375,-3.015625,0.078125
