dataset,source_target_id,source_substitute_id,clean_sentence,target_clean,substitute,prefix,suffix,target_offset,pos,label_score,num_labels,source_row_idx,target1,substitute1,target1_offset,target1_end,target2_options_json,num_target2_options,num_total_candidates2,target2,substitute2,target2_offset,target2_end,target2_pos,target2_selection_status,target2_selection_reason,sentence_with_substitute1,sentence_with_both_substitutions,reject_reason
swords,t:a833dca20aa9206085f839e9fe915330c43eab12,s:dead2a6ee1a5ea99aa6b7f34fd33306c7d27f8f4,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.",approving,praise,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about "," of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.",168,VERB,0.6,10,0,approving,praise,168,177,"[{""target2"": ""became"", ""target2_offset"": 32, ""target2_end"": 38, ""target2_pos"": ""VBD"", ""target2_rank"": 3, ""candidates"": [""turned"", ""suited""]}, {""target2"": ""lovers"", ""target2_offset"": 39, ""target2_end"": 45, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""fans""]}, {""target2"": ""evening"", ""target2_offset"": 51, ""target2_end"": 58, ""target2_pos"": ""NN"", ""target2_rank"": 6, ""candidates"": [""eve"", ""even""]}, {""target2"": ""good"", ""target2_offset"": 68, ""target2_end"": 72, ""target2_pos"": ""JJ"", ""target2_rank"": 10, ""candidates"": [""beneficial"", ""respectable"", ""effective"", ""well"", ""serious"", ""expert"", ""dear"", ""full"", ""sound"", ""upright"", ""practiced"", ""just"", ""near"", ""ripe"", ""safe"", ""right"", ""honest"", ""secure"", ""honorable""]}, {""target2"": ""made"", ""target2_offset"": 130, ""target2_end"": 134, ""target2_pos"": ""VBD"", ""target2_rank"": 18, ""candidates"": [""caused"", ""reached"", ""created"", ""produced"", ""constructed"", ""formed"", ""earned"", ""prepared"", ""established"", ""cooked"", ""induced"", ""fixed"", ""named"", ""gained"", ""worked"", ""stimulated"", ""realized"", ""pissed""]}]",5,42,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about praise of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.","Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about praise of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:db29fd2ed5e19a7a180f02d0896c8725b996c0dc,s:dc428a2ef3aa6572017b4e49b41fda1df5cf1a1c,"""It's an honor --"" 
                 ""Of course,"" I said. ""That's why I cannot take payment.""",said,reply,"""It's an honor --"" 
                 ""Of course,"" I ",". ""That's why I cannot take payment.""",52,VERB,0.7,10,1,said,reply,52,56,"[{""target2"": ""honor"", ""target2_offset"": 9, ""target2_end"": 14, ""target2_pos"": ""NN"", ""target2_rank"": 4, ""candidates"": [""award"", ""honour"", ""purity""]}, {""target2"": ""course"", ""target2_offset"": 41, ""target2_end"": 47, ""target2_pos"": ""NN"", ""target2_rank"": 9, ""candidates"": [""grade"", ""class"", ""line"", ""track"", ""row"", ""trend"", ""form"", ""path""]}, {""target2"": ""take"", ""target2_offset"": 79, ""target2_end"": 83, ""target2_pos"": ""VB"", ""target2_rank"": 21, ""candidates"": [""require"", ""bring"", ""need"", ""remove"", ""choose"", ""select"", ""have"", ""lead"", ""consider"", ""carry"", ""accept"", ""demand"", ""deal"", ""study"", ""assume"", ""involve"", ""guide"", ""aim"", ""shoot"", ""fill"", ""read"", ""direct"", ""acquire"", ""get"", ""claim"", ""learn"", ""consume"", ""film"", ""adopt""]}]",3,40,take,accept,79,83,VB,selected,contextual collocation synonym from provided candidates,"""It's an honor --"" 
                 ""Of course,"" I reply. ""That's why I cannot take payment.""","""It's an honor --"" 
                 ""Of course,"" I reply. ""That's why I cannot accept payment.""",obvious_article_error
swords,t:076a9bd400c57f970ef701f4ef9405db136e9dfc,s:a82d331780f2d4ea40167bd7369f57f40fd78645,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, posted earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.",posted,report,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, "," earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.",311,VERB,0.6,10,5,posted,report,311,317,"[{""target2"": ""earnings"", ""target2_offset"": 14, ""target2_end"": 22, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""wages"", ""pays"", ""salaries"", ""profits"", ""nets""]}, {""target2"": ""lines"", ""target2_offset"": 57, ""target2_end"": 62, ""target2_pos"": ""NNS"", ""target2_rank"": 7, ""candidates"": [""jobs"", ""courses"", ""notes"", ""business"", ""tunes"", ""occupations"", ""strains"", ""contrasts"", ""lineages"", ""cables"", ""stocks"", ""origins"", ""channels"", ""arguments"", ""pipelines""]}, {""target2"": ""fell"", ""target2_offset"": 63, ""target2_end"": 67, ""target2_pos"": ""VBD"", ""target2_rank"": 8, ""candidates"": [""decreased"", ""descended"", ""diminished"", ""comed"", ""flowed"", ""passed"", ""accrued"", ""settled"", ""returned"", ""vanished"", ""precipitated""]}, {""target2"": ""latest"", ""target2_offset"": 79, ""target2_end"": 85, ""target2_pos"": ""JJS"", ""target2_rank"": 13, ""candidates"": [""late"", ""previous"", ""recent"", ""former"", ""later""]}, {""target2"": ""quarter"", ""target2_offset"": 86, ""target2_end"": 93, ""target2_pos"": ""NN"", ""target2_rank"": 14, ""candidates"": [""stern"", ""tail"", ""fourth""]}]",5,39,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, report earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.","The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, report earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:4ce61c863aeae3ab1ba2e1952b9585edd848dbc9,s:839ece54bb5459cce03d12180b5dfd3c957f4038,"This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the full year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.",full,entire,This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the ," year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.",106,ADJ,0.7,10,12,full,entire,106,110,"[{""target2"": ""year"", ""target2_offset"": 5, ""target2_end"": 9, ""target2_pos"": ""NN"", ""target2_rank"": 1, ""candidates"": [""yr"", ""class""]}, {""target2"": ""results"", ""target2_offset"": 12, ""target2_end"": 19, ""target2_pos"": ""NNS"", ""target2_rank"": 3, ""candidates"": [""effects"", ""answers"", ""consequences"", ""outcomes"", ""solutions"", ""events"", ""issues"", ""solvents"", ""resolutions""]}, {""target2"": ""gain"", ""target2_offset"": 31, ""target2_end"": 35, ""target2_pos"": ""NN"", ""target2_rank"": 6, ""candidates"": [""increase"", ""profit"", ""addition"", ""amplification""]}, {""target2"": ""disposal"", ""target2_offset"": 60, ""target2_end"": 68, ""target2_pos"": ""NN"", ""target2_rank"": 13, ""candidates"": [""administration"", ""disposition""]}, {""target2"": ""year"", ""target2_offset"": 111, ""target2_end"": 115, ""target2_pos"": ""NN"", ""target2_rank"": 21, ""candidates"": [""yr"", ""class""]}]",5,19,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the entire year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.","This year's results included a gain of $70.2 million on the disposal of seafood operations. Sales for the entire year were $6.6 billion, up 13% from $5.8 billion.  

Ralston said its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:1ed226915135236259452a6abe42b0ad6fe90507,s:b368f942abcb9932197e5598bb8906cfc4bfaac4,"For in my way, I have done the same thing. 
                 I am ready for the mindwipe now.",ready,primed,"For in my way, I have done the same thing. 
                 I am ", for the mindwipe now.,66,ADJ,0.8,10,13,ready,primed,66,71,"[{""target2"": ""same"", ""target2_offset"": 31, ""target2_end"": 35, ""target2_pos"": ""JJ"", ""target2_rank"": 9, ""candidates"": [""like""]}]",1,1,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"For in my way, I have done the same thing. 
                 I am primed for the mindwipe now.","For in my way, I have done the same thing. 
                 I am primed for the mindwipe now.",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:cdfd06faa5e6307fdb0acc108b12c903613eb700,s:5e4729ea477816456d0a116c59f13141414ba880,"""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: classic photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.",classic,vintage,"""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: "," photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.",127,ADJ,0.8,10,17,classic,vintage,127,134,"[{""target2"": ""prints"", ""target2_offset"": 12, ""target2_end"": 18, ""target2_pos"": ""NNS"", ""target2_rank"": 4, ""candidates"": [""marks""]}, {""target2"": ""going"", ""target2_offset"": 19, ""target2_end"": 24, ""target2_pos"": ""VBG"", ""target2_rank"": 5, ""candidates"": [""becoming"", ""moving"", ""traveling"", ""living"", ""operating"", ""working"", ""surviving"", ""extending"", ""sounding"", ""leading"", ""departing"", ""functioning"", ""passing"", ""proceeding"", ""lasting"", ""starting"", ""enduring"", ""failing"", ""belonging"", ""breaking"", ""blending""]}, {""target2"": ""hands"", ""target2_offset"": 34, ""target2_end"": 39, ""target2_pos"": ""NNS"", ""target2_rank"": 8, ""candidates"": [""mens"", ""deals"", ""scripts""]}, {""target2"": ""institutions"", ""target2_offset"": 43, ""target2_end"": 55, ""target2_pos"": ""NNS"", ""target2_rank"": 10, ""candidates"": [""establishments"", ""creations"", ""foundations"", ""innovations""]}, {""target2"": ""know"", ""target2_offset"": 59, ""target2_end"": 63, ""target2_pos"": ""VBP"", ""target2_rank"": 13, ""candidates"": [""recognize"", ""experience"", ""live"", ""bed"", ""eff"", ""bang"", ""fuck"", ""jazz"", ""love"", ""screw"", ""recognise"", ""acknowledge""]}]",5,41,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: vintage photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.","""When I see prints going into the hands of institutions, I know they aren't going to come back on the market."" Most in demand: vintage photographs by masters such as Stieglitz and Man Ray. But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:7590d459b8b2a3ac970f5813a3f9ccc7b3406772,s:cac5cad77333c27e79ba0e08d596092a64ecef1c,"It's the reverse of you with those
                    ridiculous stomach muscles. Old men should be fat."" 
                 ""Is Emil?""",Old,elderly,"It's the reverse of you with those
                    ridiculous stomach muscles. "," men should be fat."" 
                 ""Is Emil?""",83,ADJ,0.9,10,22,Old,elderly,83,86,"[{""target2"": ""reverse"", ""target2_offset"": 9, ""target2_end"": 16, ""target2_pos"": ""NN"", ""target2_rank"": 3, ""candidates"": [""contrary"", ""blow"", ""opposite"", ""reversal""]}, {""target2"": ""ridiculous"", ""target2_offset"": 55, ""target2_end"": 65, ""target2_pos"": ""JJ"", ""target2_rank"": 8, ""candidates"": [""absurd"", ""silly"", ""pathetic""]}, {""target2"": ""stomach"", ""target2_offset"": 66, ""target2_end"": 73, ""target2_pos"": ""NN"", ""target2_rank"": 9, ""candidates"": [""belly"", ""abdomen"", ""tum""]}]",3,10,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"It's the reverse of you with those
                    ridiculous stomach muscles. elderly men should be fat."" 
                 ""Is Emil?""","It's the reverse of you with those
                    ridiculous stomach muscles. elderly men should be fat."" 
                 ""Is Emil?""",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:d98e360531439feab2471262a82a52b4b46ac94d,s:079a546ac749027586f3735530ca7aaf00956428,"I do not plan to write a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.",good,excellent,"I do not plan to write a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a "," dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.",138,ADJ,0.7,10,24,good,excellent,138,142,"[{""target2"": ""plan"", ""target2_offset"": 9, ""target2_end"": 13, ""target2_pos"": ""VB"", ""target2_rank"": 3, ""candidates"": [""design"", ""project""]}, {""target2"": ""write"", ""target2_offset"": 17, ""target2_end"": 22, ""target2_pos"": ""VB"", ""target2_rank"": 5, ""candidates"": [""compose"", ""pen"", ""spell"", ""publish"", ""save""]}, {""target2"": ""book"", ""target2_offset"": 25, ""target2_end"": 29, ""target2_pos"": ""NN"", ""target2_rank"": 7, ""candidates"": [""volume"", ""script"", ""record"", ""word""]}, {""target2"": ""move"", ""target2_offset"": 51, ""target2_end"": 55, ""target2_pos"": ""VB"", ""target2_rank"": 12, ""candidates"": [""go"", ""act"", ""travel"", ""strike"", ""prompt"", ""impress"", ""proceed"", ""motivate"", ""run"", ""affect""]}, {""target2"": ""became"", ""target2_offset"": 102, ""target2_end"": 108, ""target2_pos"": ""VBD"", ""target2_rank"": 18, ""candidates"": [""turned"", ""suited""]}]",5,23,write,compose,17,22,VB,selected,contextual writing synonym from provided candidates,"I do not plan to write a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a excellent dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.","I do not plan to compose a book: this narrative must move more quickly. Tasha and
                    I became lovers that evening, after a excellent dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried.",obvious_article_error
swords,t:60ca68b18e270de8d851b06f79207bc8b670b6c9,s:8cabf7bd3c1acdc88544ab26d868d8b2cf525db2,"Travelers Corp. 's third-quarter net income rose 11%, even though claims stemming from Hurricane Hugo reduced results $40 million.  

Net advanced to $94.2 million, or 89 cents a share, from $85 million, or 83 cents a share, including net realized investment gains of $31 million, up from $10 million a year ago.",rose,soar,Travelers Corp. 's third-quarter net income ," 11%, even though claims stemming from Hurricane Hugo reduced results $40 million.  

Net advanced to $94.2 million, or 89 cents a share, from $85 million, or 83 cents a share, including net realized investment gains of $31 million, up from $10 million a year ago.",44,VERB,0.6,10,27,rose,soar,44,48,"[{""target2"": ""even"", ""target2_offset"": 54, ""target2_end"": 58, ""target2_pos"": ""RB"", ""target2_rank"": 10, ""candidates"": [""still"", ""yet""]}, {""target2"": ""claims"", ""target2_offset"": 66, ""target2_end"": 72, ""target2_pos"": ""NNS"", ""target2_rank"": 12, ""candidates"": [""calls"", ""titles""]}, {""target2"": ""reduced"", ""target2_offset"": 102, ""target2_end"": 109, ""target2_pos"": ""VBD"", ""target2_rank"": 17, ""candidates"": [""diluted"", ""shortened"", ""repressed"", ""tightened"", ""contracted"", ""abbreviated"", ""concentrated""]}, {""target2"": ""results"", ""target2_offset"": 110, ""target2_end"": 117, ""target2_pos"": ""NNS"", ""target2_rank"": 18, ""candidates"": [""effects"", ""answers"", ""consequences"", ""outcomes"", ""solutions"", ""events"", ""issues"", ""solvents"", ""resolutions""]}, {""target2"": ""advanced"", ""target2_offset"": 138, ""target2_end"": 146, ""target2_pos"": ""VBD"", ""target2_rank"": 23, ""candidates"": [""encouraged"", ""promoted"", ""progressed"", ""elevated"", ""gained"", ""boosted"", ""raised"", ""upgraded""]}]",5,28,,,,,,no_valid_candidate,No provided candidate passed conservative meaning and grammar checks.,"Travelers Corp. 's third-quarter net income soar 11%, even though claims stemming from Hurricane Hugo reduced results $40 million.  

Net advanced to $94.2 million, or 89 cents a share, from $85 million, or 83 cents a share, including net realized investment gains of $31 million, up from $10 million a year ago.","Travelers Corp. 's third-quarter net income soar 11%, even though claims stemming from Hurricane Hugo reduced results $40 million.  

Net advanced to $94.2 million, or 89 cents a share, from $85 million, or 83 cents a share, including net realized investment gains of $31 million, up from $10 million a year ago.",target2_not_selected;missing_target2;missing_substitute2;missing_target2_offsets
swords,t:20561c0e4ca2c9e56e16382eeb0788f8d06f2be9,s:d91650a7682d3634d523021f74d3efb2851fb49d,"The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a common editorial.
A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""",common,ordinary,"The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a "," editorial.
A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""",145,ADJ,0.6,10,28,common,ordinary,145,151,"[{""target2"": ""command"", ""target2_offset"": 28, ""target2_end"": 35, ""target2_pos"": ""VBP"", ""target2_rank"": 4, ""candidates"": [""control"", ""require"", ""dominate"", ""overlook""]}, {""target2"": ""agreed"", ""target2_offset"": 60, ""target2_end"": 66, ""target2_pos"": ""VBD"", ""target2_rank"": 10, ""candidates"": [""accorded"", ""matched"", ""corresponded"", ""checked""]}, {""target2"": ""express"", ""target2_offset"": 70, ""target2_end"": 77, ""target2_pos"": ""VB"", ""target2_rank"": 12, ""candidates"": [""show"", ""carry"", ""convey"", ""utter"", ""state"", ""extract""]}, {""target2"": ""outrage"", ""target2_offset"": 84, ""target2_end"": 91, ""target2_pos"": ""NN"", ""target2_rank"": 14, ""candidates"": [""scandal""]}, {""target2"": ""final"", ""target2_offset"": 165, ""target2_end"": 170, ""target2_pos"": ""JJ"", ""target2_rank"": 28, ""candidates"": [""last"", ""concluding"", ""net"", ""terminal""]}]",5,19,final,last,165,170,JJ,selected,high-confidence synonym from provided candidates,"The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a ordinary editorial.
A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""","The publishers in Monterrey command no battalions, but they agreed to express their outrage with editorials in today's editions.
Many will use a ordinary editorial.
A last statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""",obvious_article_error
