dataset,source_id,norm_category,raw_category,raw_problem_type,original_number,perturbed_number,changed_start,changed_end,orig_decoded_token,pert_decoded_token,local_context,original_problem,perturbed_problem,judge_label,judge_reason
smt_2025,44,algebra,,['Algebra'],400,401,71,74,beans,beans,"Carolina has a jar of red, green, and white jelly beans. She replaces $400$ red beans with green ones, then $200$ green beans with white ones. Initially, ","Carolina has a jar of red, green, and white jelly beans. She replaces $400$ red beans with green ones, then $200$ green beans with white ones. Initially, the percentage of red beans minus the percentage of green beans was $X \%$. After the replacements, this difference became $(X-2.5) \%$. Compute the number of beans in the jar.","Carolina has a jar of red, green, and white jelly beans. She replaces $401$ red beans with green ones, then $200$ green beans with white ones. Initially, the percentage of red beans minus the percentage of green beans was $X \%$. After the replacements, this difference became $(X-2.5) \%$. Compute the number of beans in the jar.",,
smt_2025,23,geometry,,['Geometry'],2,3,57,58,}$,}$,"Let $\Omega$ be a circle. Draw two radii $r_{1}$ and $r_{2}$ of $\Omega$ that form a $40^{\circ}$ angle, and let $\omega$ be a circle whic","Let $\Omega$ be a circle. Draw two radii $r_{1}$ and $r_{2}$ of $\Omega$ that form a $40^{\circ}$ angle, and let $\omega$ be a circle which is tangent to both of these radii and internally tangent to $\Omega$. Let $\omega$ be tangent to $\Omega$ and $r_{1}$ at $A$ and $B$, respectively, and let $r_{1}$ meet $\Omega$ at $C$. Compute $\angle A B C$.
","Let $\Omega$ be a circle. Draw two radii $r_{1}$ and $r_{3}$ of $\Omega$ that form a $40^{\circ}$ angle, and let $\omega$ be a circle which is tangent to both of these radii and internally tangent to $\Omega$. Let $\omega$ be tangent to $\Omega$ and $r_{1}$ at $A$ and $B$, respectively, and let $r_{1}$ meet $\Omega$ at $C$. Compute $\angle A B C$.
",,
smt_2025,48,algebra,,['Algebra'],8,9,64,65,^{,^{,"Given real numbers $s, m$, and $t$ such that $s^{2}+m^{2}+t^{2}=8, s^{3}+m^{3}+t^{3}=11$, and $s^{4}+m^{4}+t^{4}=25$, compute the value of $(s+m+","Given real numbers $s, m$, and $t$ such that $s^{2}+m^{2}+t^{2}=8, s^{3}+m^{3}+t^{3}=11$, and $s^{4}+m^{4}+t^{4}=25$, compute the value of $(s+m+t)(s+m-t)(s-m+t)(s-m-t)$.","Given real numbers $s, m$, and $t$ such that $s^{2}+m^{2}+t^{2}=9, s^{3}+m^{3}+t^{3}=11$, and $s^{4}+m^{4}+t^{4}=25$, compute the value of $(s+m+t)(s+m-t)(s-m+t)(s-m-t)$.",,
smt_2024,51,counting_and_probability,Discrete,[],2,3,86,87,a,a,"is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets wit","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 2 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?","Alice is playing with magnets on her fridge . She has 7 magnets, with the numbers 1 , 3 , 3 , 4 , 5 , 6 , 7 , in that order in a row , and she also has two magnets with a "" + "" sign, two magnets with a "" − "" sign, and two magnets with a "" × "" sign. She randomly puts these six operation magnets between her 7 number magnets, with one operation between every two consecutive numbers, and evaluates the resulting expression (following the order of operations). What is the expected value of her result?",,
smt_2025,31,counting_and_probability,,['Combinatorics'],15,16,24,26,ake,ake,"The Stanford Tree buys $15$ eggs to bake a cake. Unfortunately, $n$ of these eggs are stale and one additi","The Stanford Tree buys $15$ eggs to bake a cake. Unfortunately, $n$ of these eggs are stale and one additional egg is rotten. The recipe requires the Tree to choose $3$ eggs from the lot. A combination is called bad if it contains at least one stale egg and no rotten eggs and awful if it contains the rotten egg (even if no other eggs are stale). Let $x$ denote the number of bad combinations and $y$ denote the number of awful combinations. Given that the ratio of $x$ to $y$ is $40: 13$, compute $n$.","The Stanford Tree buys $16$ eggs to bake a cake. Unfortunately, $n$ of these eggs are stale and one additional egg is rotten. The recipe requires the Tree to choose $3$ eggs from the lot. A combination is called bad if it contains at least one stale egg and no rotten eggs and awful if it contains the rotten egg (even if no other eggs are stale). Let $x$ denote the number of bad combinations and $y$ denote the number of awful combinations. Given that the ratio of $x$ to $y$ is $40: 13$, compute $n$.",,
smt_2025,4,reject_calculus_no_clean_hendricks_match,,['Algebra'],6,7,58,59,x,x,"Let $f$ be a continuous function satisfying $f\left(x^{7}+6 x^{5}+3 x^{3}+1\right)=9 x+5$ for all reals $x$. Compute the integral

$$
\int_","Let $f$ be a continuous function satisfying $f\left(x^{7}+6 x^{5}+3 x^{3}+1\right)=9 x+5$ for all reals $x$. Compute the integral

$$
\int_{-9}^{11} f(x) \mathrm{d} x .
$$
","Let $f$ be a continuous function satisfying $f\left(x^{7}+7 x^{5}+3 x^{3}+1\right)=9 x+5$ for all reals $x$. Compute the integral

$$
\int_{-9}^{11} f(x) \mathrm{d} x .
$$
",,
smt_2025,11,geometry,,['Combinatorics'],5,6,67,68,actly,actly,"The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the exp","The boxes in the expression below are filled with the numbers $3,4,5,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
","The boxes in the expression below are filled with the numbers $3,4,6,6$, and $7$, so that each number is used exactly once, and the value of the expression is a prime number. Compute the value of the expression.

$$
\square \times \square \times \square+\square \times \square
$$
",,
smt_2025,4,reject_calculus_no_clean_hendricks_match,,['Algebra'],7,8,55,56,)=,)=,"Let $f$ be a continuous function satisfying $f\left(x^{7}+6 x^{5}+3 x^{3}+1\right)=9 x+5$ for all reals $x$. Compute the integral

$$
\i","Let $f$ be a continuous function satisfying $f\left(x^{7}+6 x^{5}+3 x^{3}+1\right)=9 x+5$ for all reals $x$. Compute the integral

$$
\int_{-9}^{11} f(x) \mathrm{d} x .
$$
","Let $f$ be a continuous function satisfying $f\left(x^{8}+6 x^{5}+3 x^{3}+1\right)=9 x+5$ for all reals $x$. Compute the integral

$$
\int_{-9}^{11} f(x) \mathrm{d} x .
$$
",,
smt_2025,29,geometry,,['Geometry'],10,11,60,62,point,point,Let $A B C D$ be a square centered at $E$ with side length $10$. Point $P$ lies on the extension of line $C D$ past point $D$. There exists a ,"Let $A B C D$ be a square centered at $E$ with side length $10$. Point $P$ lies on the extension of line $C D$ past point $D$. There exists a point $Q$ on line $A P$ such that lines $E Q, B P$, and $A D$ are concurrent. If $E Q=7 \sqrt{2}$, compute $|A Q-D Q|$.","Let $A B C D$ be a square centered at $E$ with side length $11$. Point $P$ lies on the extension of line $C D$ past point $D$. There exists a point $Q$ on line $A P$ such that lines $E Q, B P$, and $A D$ are concurrent. If $E Q=7 \sqrt{2}$, compute $|A Q-D Q|$.",,
smt_2025,51,algebra,,['Algebra'],5,6,94,95,_{,_{," set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{5}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.","Let $Z$ be the set of all complex numbers $z$ such that $|z|=1$ and
$$
z^{8}+i z^{6}-(1+i) z^{6}+(1-i) z^{3}+i z^{2}-1=0
$$

with the polar angle $\theta_{z}$ (the angle in $[0,2 \pi)$ that $z$ makes with the positive real axis, measured counterclockwise) lying in the interval $[0, \pi)$. Compute the sum of all distinct values of $\theta_{z}$ for $z$ in $Z$. Compute the answer in radians.",,
