row_idx,dataset,sentence,changed_sentence,prefix,suffix,target,substitute,orig_logp,sub_logp,orig_nll,sub_nll,score,orig_token_ids,sub_token_ids,orig_tokens,sub_tokens,orig_num_tokens,sub_num_tokens,orig_context_mean_nll,sub_context_mean_nll,orig_context_sum_nll,sub_context_sum_nll,orig_context_num_tokens,sub_context_num_tokens,context_score,orig_context_avg_logp,sub_context_avg_logp,context_logp_score
0,swords,"Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about approving of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.","Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about praise of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.","Tasha and
                    I became lovers that evening, after a good dinner of paella at her apartment. I
                    made some small joke afterward, about "," of her firm's business
                    incentives, and she cried. Consoling her, I began to suspect I loved her.",approving,praise,-13.1875,-13.75,13.1875,13.75,0.5625,[43815],[19916],"[""Ġapproving""]","[""Ġpraise""]",1,1,3.765625,3.90625,226.0,234.0,60,60,0.140625,-3.765625,-3.90625,0.140625
1,swords,"""It's an honor --"" 
                 ""Of course,"" I said. ""That's why I cannot take payment.""","""It's an honor --"" 
                 ""Of course,"" I reply. ""That's why I cannot take payment.""","""It's an honor --"" 
                 ""Of course,"" I ",". ""That's why I cannot take payment.""",said,reply,-1.7578125,-4.8125,1.7578125,4.8125,3.0546875,[753],[12252],"[""Ġsaid""]","[""Ġreply""]",1,1,3.75,3.875,90.0,93.0,24,24,0.125,-3.75,-3.875,0.125
2,swords,"For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. Sales rose to $9.8 million from $8.9 million.","For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. Revenue rose to $9.8 million from $8.9 million.","For the nine months, the company reported a net loss of $608,413, or 39 cents a share, compared with year-earlier net income of $967,809, or 62 cents a share. ", rose to $9.8 million from $8.9 million.,Sales,Revenue,-7.78125,-8.0625,7.78125,8.0625,0.28125,[22344],[27464],"[""ĠSales""]","[""ĠRevenue""]",1,1,1.7890625,1.7890625,102.0,102.0,57,57,0.0,-1.7890625,-1.7890625,0.0
5,swords,"The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, posted earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.","The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, report earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.","The insurer's earnings from commercial property/casualty lines fell 59% in the latest quarter, while it lost $7.2 million in its personal property/casualty business, compared with earnings of $6.1 million a year ago.  

Travelers's employee benefits group, which includes its group health insurance operations, "," earnings of $24 million, compared with a loss of $3 million last year.  

In the first nine months, net was $306 million, compared with a loss of $195 million in the 1988 period.",posted,report,-2.8125,-8.9375,2.8125,8.9375,6.125,[9269],[1304],"[""Ġposted""]","[""Ġreport""]",1,1,2.234375,2.296875,255.0,262.0,114,114,0.0625,-2.234375,-2.296875,0.0625
6,swords,"He paused before a bedroom door. ""I should go in first. To prepare her.""","He paused before a bedroom door. ""I should proceed in first. To prepare her.""","He paused before a bedroom door. ""I should "," in first. To prepare her.""",go,proceed,-2.625,-10.5,2.625,10.5,7.875,[564],[4262],"[""Ġgo""]","[""Ġproceed""]",1,1,4.03125,4.8125,68.5,82.0,17,17,0.78125,-4.03125,-4.8125,0.78125
7,swords,"I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will mention it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.","I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will communicate it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.","I have disguised us in the play, and deleted one brief melodramatic
                    interchange. Now I will "," it, in case I/You decide to restore it. Shortly
                    before she left, Tasha said, ""You steal from life for art, Bernardo.",mention,communicate,-6.5625,-8.6875,6.5625,8.6875,2.125,[3748],[13791],"[""Ġmention""]","[""Ġcommunicate""]",1,1,4.375,4.53125,253.0,262.0,58,58,0.15625,-4.375,-4.53125,0.15625
8,swords,"I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, perhaps even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.","I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, possibly even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.","I fear that may be true for me. Add
                    this to the reasons I write now: to remember something, "," even to learn -- 
                 Emil Malaquez arrived after sundown, carrying a small package wrapped in what
                    looked like real paper.",perhaps,possibly,-5.875,-8.75,5.875,8.75,2.875,[4931],[6830],"[""Ġperhaps""]","[""Ġpossibly""]",1,1,4.21875,4.28125,236.0,239.0,56,56,0.0625,-4.21875,-4.28125,0.0625
9,swords,"A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's work, it
                    was a very minor effort. But then, I was in no mood to consider art.","A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's business, it
                    was a very minor effort. But then, I was in no mood to consider art.","A tall, narrow
                    stopbox stood in the center of one room; sand trickled forever downward while
                    beads of water splashed across the sand's path. If that was Malaquez's ",", it
                    was a very minor effort. But then, I was in no mood to consider art.",work,business,-5.0625,-7.625,5.0625,7.625,2.5625,[789],[2136],"[""Ġwork""]","[""Ġbusiness""]",1,1,3.9375,4.09375,256.0,266.0,65,65,0.15625,-3.9375,-4.09375,0.15625
10,swords,"Yes, Self, I am also bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my latest play, ""Captured Moments."" The mindwipe
                    will take its creation from my future self --but time too often does that
                    without aid.","Yes, Self, I am also bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my new play, ""Captured Moments."" The mindwipe
                    will take its creation from my future self --but time too often does that
                    without aid.","Yes, Self, I am also bothered that this observation ignores half-eaten cheese
                    sandwiches, incomplete insect collections, and locks of infants' hair, forgotten
                    in closets, basements, and warehouses. 
                 You see the inspiration for my "," play, ""Captured Moments."" The mindwipe
                    will take its creation from my future self --but time too often does that
                    without aid.",latest,new,-4.3125,-3.421875,4.3125,3.421875,-0.890625,[6323],[747],"[""Ġlatest""]","[""Ġnew""]",1,1,4.28125,4.28125,384.0,384.0,90,90,0.0,-4.28125,-4.28125,0.0
11,swords,"The other concern wasn't identified.  

Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial benefit to Ratners."" In London at mid-afternoon yesterday, Ratners's shares were up 2 pence (1.26 cents), at 260 pence ($1.64).","The other concern wasn't identified.  

Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial help to Ratners."" In London at mid-afternoon yesterday, Ratners's shares were up 2 pence (1.26 cents), at 260 pence ($1.64).","The other concern wasn't identified.  

Ratners's chairman, Gerald Ratner, said the deal remains of ""substantial "," to Ratners."" In London at mid-afternoon yesterday, Ratners's shares were up 2 pence (1.26 cents), at 260 pence ($1.64).",benefit,help,-2.578125,-8.5,2.578125,8.5,5.921875,[5649],[1361],"[""Ġbenefit""]","[""Ġhelp""]",1,1,3.453125,3.5625,218.0,224.0,63,63,0.109375,-3.453125,-3.5625,0.109375
